strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H660,אֶפעֶה,Old Testament,Hebrew,noun,an asp or other venomous serpent,,3
H661,אָפַף,Old Testament,Hebrew,verb,to surround,,5
H662,אָפַק,Old Testament,Hebrew,verb,restrain.,,7
H663,אֲפֵק אֲפִיק,Old Testament,Hebrew,noun location,the name of three places in Israel,,9
H664,אֲפֵקָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H665,אֵפֶר,Old Testament,Hebrew,noun,ashes,,22
H666,אֲפֵר,Old Testament,Hebrew,noun,a turban,,2
H667,אֶפרוַֹח,Old Testament,Hebrew,noun,the brood of a bird,,5
H668,אַפִּריוֹן,Old Testament,Hebrew,noun,a palanquin,,1
H669,אֶפרַיִם,Old Testament,Hebrew,noun proper,"(also) the tribe descended from him, and its territory",,180
A670,אֲפָרְסַי,Old Testament,Aramaic,noun proper,an Apherasite or inhabitant of an unknown region of Assyria,,1
A671,אֲפַרסְכַי אֲפַרסַתכַּי,Old Testament,Aramaic,noun proper,an unknown Assyrian tribe,,3
H672,אֶפרָת אֶפרָתָה,Old Testament,Hebrew,noun proper,once (Psa. 132,,10
H673,אֶפרָתִי,Old Testament,Hebrew,adjective,Ephrathite.,,5
H674,אַפְּתוֹם,Old Testament,Hebrew,noun,revenue; others at the last,,1
H675,אֶצבּוֹן אֶצבּוֹן,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H676,אֶצבַּע,Old Testament,Hebrew,noun,toe.,,31
A677,אֶצבַּע,Old Testament,Aramaic,noun,toe,,3
H678,אָצִיל,Old Testament,Hebrew,noun,noble.,,2
H679,אַצִּיל,Old Testament,Hebrew,noun,according to some) a party-wall (Ezek. 41,,3
H680,אָצַל,Old Testament,Hebrew,verb,"refuse, contract",,5
H681,אֵצֶל,Old Testament,Hebrew,noun,"(hard) by, (from) (beside), near (unto), toward, with. See also H1018.",,61
H682,אַצֵל,Old Testament,Hebrew,noun location,"the name of an Israelite, and of a place in Israel",,7
H683,אֲצַליָהוּ,Old Testament,Hebrew,noun proper,an Israelite,,2
H684,אוֹצֶם,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H685,אֶצעָדָה,Old Testament,Hebrew,noun,a bracelet,,2
H686,אָצַר,Old Testament,Hebrew,verb,+ (make) treasure(-r).,,5
H687,אֶצֶר,Old Testament,Hebrew,noun proper,an Idumaean,,5
H688,אֶקדָּח,Old Testament,Hebrew,noun,"garnet, or other fiery gem",,1
H689,אַקּוֹ,Old Testament,Hebrew,noun,slender; the ibex,,1
H690,אֲרָא,Old Testament,Hebrew,noun proper,an Israelite,,1
H691,אֶראֵל,Old Testament,Hebrew,noun,a hero (collectively),,1
H692,אַראֵלִי,Old Testament,Hebrew,noun proper,"collectively), an Israelite and his descendants",,3
H693,אָרַב,Old Testament,Hebrew,verb,lay (lie in) wait.,,41
H694,אֲרָב,Old Testament,Hebrew,noun location,a place in Israel,,1
H695,אֶרֶב,Old Testament,Hebrew,noun,lie in wait.,,2
H696,אוֹרֶב,Old Testament,Hebrew,noun,wait,,1
H697,אַרבֶּה,Old Testament,Hebrew,noun,locust.,,24
H698,אָרֳבָה,Old Testament,Hebrew,noun,ambuscades,,1
H699,אֲרֻבָּה,Old Testament,Hebrew,noun,"dove-cot (because of the pigeon-holes), chimney (with its apertures for smoke), sluice (with openings for water)",,9
H700,אֲרֻבּוֹת,Old Testament,Hebrew,noun location,a place in Israel,,1
H701,אַרבִּי,Old Testament,Hebrew,adjective,an Arbite or native of Arab,,1
H702,אַרבַּע אַרבָּעָה,Old Testament,Hebrew,adjective,four,నాలుగు,320
A703,אַרבַּע,Old Testament,Aramaic,adjective,four,,8
H704,אַרבַּע,Old Testament,Hebrew,noun proper,one of the Anakim,,2
H705,אַרבָּעִים,Old Testament,Hebrew,adjective,forty,,135
H706,אַרבַּעתַּיִם,Old Testament,Hebrew,verb,fourfold,,1
H707,אָרַג,Old Testament,Hebrew,verb,to plait or weave,,13
H708,אֶרֶג,Old Testament,Hebrew,noun,weaver's shuttle.,,2
H709,אַרגּוֹב,Old Testament,Hebrew,noun location,a district of Israel,,5
H710,אַרגְּוָן,Old Testament,Hebrew,noun,purple,,1
A711,אַרגְּוָן,Old Testament,Aramaic,noun,purple,,3
H712,אַרגָּז,Old Testament,Hebrew,noun,a box (as a pannier)],,3
H713,אַרגָּמָן,Old Testament,Hebrew,noun,purple (the color or the dyed stuff),,38
H714,אַרדּ,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H715,אַרדּוֹן,Old Testament,Hebrew,noun proper,an Israelite,,1
H716,אַרדִּי,Old Testament,Hebrew,adjective,an Ardite (collectively) or descendant of Ard,,1
H717,אָרָה,Old Testament,Hebrew,verb,pluck.,,2
A718,אֲרוּ,Old Testament,Aramaic,injunction,lo.,,5
H719,אַרוַד,Old Testament,Hebrew,noun location,an island-city of Israel,,2
H720,אֲרוֹד,Old Testament,Hebrew,noun proper,an Israelite,,1
H721,אַרוָדִי,Old Testament,Hebrew,adjective,an Arvadite or citizen of Arvad,,2
H722,אֲרוֹדִי,Old Testament,Hebrew,adjective,Arodites.,,2
H723,אוּרוָה אֲרָיָה,Old Testament,Hebrew,noun,a herding-place for an animal,,3
H724,אֲרוּכָה אֲרוּכָה,Old Testament,Hebrew,noun,"made up, perfected.",,6
H725,אֲרוּמָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H726,אֲרוֹמִי,Old Testament,Hebrew,adjective,an Edomite (as in the margin},,1
H727,אָרוֹן אָרוֹן,Old Testament,Hebrew,noun,"chest, coffin.",,202
H728,אֲרַונָה אוֹרנָה אַנִיָה,Old Testament,Hebrew,noun proper,a Jebusite,,11
H729,אָרַז,Old Testament,Hebrew,adjective,to be firm; used only in the passive participle as a denominative from H730],,4
H730,אֶרֶז,Old Testament,Hebrew,noun,a cedar tree (from the tenacity of its roots),,70
H731,אַרזָה,Old Testament,Hebrew,noun,cedar wainscoating,,1
H732,אָרַח,Old Testament,Hebrew,verb,wayfaring (man).,,5
H733,אָרַח,Old Testament,Hebrew,noun proper,the name of three Israelites,,4
H734,אוֹרַח,Old Testament,Hebrew,noun,"path, race, rank, traveller, troop, (by-, high-)way.",,60
A735,אוֹרַח,Old Testament,Aramaic,noun,a road,,2
H736,אוֹרחָה,Old Testament,Hebrew,noun,a caravan,,2
H737,אֲרוּחָה,Old Testament,Hebrew,noun,"diet, dinner, victuals.",,6
H738,אֲרִי אַריֵה,Old Testament,Hebrew,noun,+ pierce (from the margin).,,81
H739,אֲרִיאֵל אֲרִאֵל,Old Testament,Hebrew,noun,H410,,4
H740,אֲרִיאֵל,Old Testament,Hebrew,noun location,"a symbolical name for Jerusalem, also the name of an Israelite",,6
H741,אֲרִאֵיל,Old Testament,Hebrew,noun,"more probably, an orthographical variation for H2025]",,3
H742,אֲרִידַּי,Old Testament,Hebrew,noun proper,a son of Haman,,1
H743,אֲרִידָּתָא,Old Testament,Hebrew,noun proper,a son of Haman,,1
A744,אַריֵה,Old Testament,Aramaic,noun,lion,,10
H745,אַריֵה,Old Testament,Hebrew,noun proper,an Israelite,,1
H746,אֲריוֹך,Old Testament,Hebrew,noun proper,the name of two Babylonians,,7
H747,אֲרִיסַי,Old Testament,Hebrew,noun proper,a son of Haman,,1
H748,אָרַך,Old Testament,Hebrew,verb,make) long (literally or figuratively),,34
A749,אֲרַך,Old Testament,Aramaic,verb,"corresponding to H748, but used only in the sense of reaching to a given point]",,1
H750,אָרֵך,Old Testament,Hebrew,adjective,"-winged), patient, slow (to anger).",,15
H751,אֶרֶך,Old Testament,Hebrew,noun location,a place in Babylon,,1
H752,אָרוֹך,Old Testament,Hebrew,adjective,long,,3
H753,אוֹרֶך,Old Testament,Hebrew,noun,"length, long.",,95
A754,אַרכָּא אַרכָּה,Old Testament,Aramaic,noun,prolonged.,,2
A755,אַרכּוּבָה,Old Testament,Aramaic,noun,the knee,,1
A756,אַרכְּוַי,Old Testament,Aramaic,noun,an Arkevite (collectively) or native of Erek,,2
H757,אַרכִּי,Old Testament,Hebrew,adjective,Archite.,,6
H758,אֲרָם,Old Testament,Hebrew,noun,"(also) the name of the son of Shem, a grandson of Nahor, and of an Israelite",,133
H759,אַרמוֹן,Old Testament,Hebrew,noun,palace.,,32
H760,אֲרַם צּוֹבָה,Old Testament,Hebrew,noun location,H6678,,1
H761,אֲרַמִּי,Old Testament,Hebrew,adjective,Aramitess.,,11
H762,אֲרָמִיתּ,Old Testament,Hebrew,verb,in Syriac.,,5
H763,אֲרַם נַהֲרַיִם,Old Testament,Hebrew,noun location,Mesopotamia.,,5
H764,אַרמוֹנִי,Old Testament,Hebrew,noun proper,an Israelite,,1
H765,אֲרָן,Old Testament,Hebrew,noun proper,an Edomite,,2
H766,אוֹרֶן,Old Testament,Hebrew,noun,the ash tree (from its toughness),,1
H767,אוֹרֶן,Old Testament,Hebrew,noun proper,an Israelite,,1
H768,אַרנֶבֶת,Old Testament,Hebrew,noun,the hare,,2
H769,אַרנוֹן אַרנוֹן,Old Testament,Hebrew,noun location,"a river east of the Jordan, also its territory",,25
H770,אַרנָן,Old Testament,Hebrew,noun proper,an Israelite,,1
H771,אָרנָן,Old Testament,Hebrew,noun proper,a Jebusite,,12
A772,אֲרַע,Old Testament,Aramaic,noun,interior.,,21
A773,אַרעִיתּ,Old Testament,Aramaic,noun,the bottom,,1
H774,אַרפָּד,Old Testament,Hebrew,noun location,a place in Syria,,6
H775,אַרפַּכשַׁד,Old Testament,Hebrew,noun proper,also the region settled by him,,9
H776,אֶרֶץ,Old Testament,Hebrew,noun,or partitively a land),భూమి - దేశము,2505
H777,אַרצָּא,Old Testament,Hebrew,noun proper,an Israelite,,1
A778,אֲרַק,Old Testament,Aramaic,noun,the earth,,1
H779,אָרַר,Old Testament,Hebrew,verb,to execrate,,63
H780,אֲרָרַט,Old Testament,Hebrew,noun location,Armenia.,,4
H781,אָרַשׂ,Old Testament,Hebrew,verb,espouse.,,11
H782,אֲרֶשֶׁת,Old Testament,Hebrew,noun,a longing for,,1
H783,אַרתַּחשַׁשׁתָּא אַרתַּחשַׁשׁתּא,Old Testament,Hebrew,noun proper,a title (rather than name) of several Persian kings,,17
H784,אֵשׁ,Old Testament,Hebrew,noun,"fiery, fire, flaming, hot.",అగ్ని (అక్షరాలా లేదా అలంకారికంగా),378
A785,אֵשׁ,Old Testament,Aramaic,noun,flame,,1
H786,אִשׁ,Old Testament,Hebrew,verb,"used only adverbially, there is or are",,2
A787,אוֹשׁ,Old Testament,Aramaic,noun,a foundation,,3
H788,אַשׁבֵּל,Old Testament,Hebrew,noun proper,an Israelite,,3
H789,אַשׁבֵּלִי,Old Testament,Hebrew,adjective,an Ashbelite (collectively) or descendant of Ashbel,,1
H790,אֶשׁבָּן,Old Testament,Hebrew,noun proper,an Idumaean,,2
H791,אַשׁבֵַּע,Old Testament,Hebrew,noun proper,an Israelite,,1
H792,אֶשׁבַּעַל,Old Testament,Hebrew,noun proper,a son of Saul,,2
H793,אֶשֶׁד,Old Testament,Hebrew,noun,an outpouring,,1
H794,אֲשֵׁדָה,Old Testament,Hebrew,noun,a ravine,,6
H795,אַשׁדּוֹד,Old Testament,Hebrew,noun location,a place in Israel,,17
H796,אַשׁדּוֹדִי,Old Testament,Hebrew,adjective,of Ashdod.,,6
H797,אַשׁדּוֹדִיתּ,Old Testament,Hebrew,verb,(only adverb) in the language of Ashdod,,1
H798,אַשׁדּוֹת הַפִּסגָּה,Old Testament,Hebrew,noun location,a place east of the Jordan,,3
H799,אֶשׁדָּת,Old Testament,Hebrew,noun,H1881,,1
H800,אֶשָּׁה,Old Testament,Hebrew,noun,fire,,1
H801,אִשָּׁה,Old Testament,Hebrew,noun,but used in a liturgical sense],,65
H802,אִשָּׁה נָשִׁים,Old Testament,Hebrew,noun,a woman (used in the same wide sense as H0582),"క్రమరహిత బహువచనం, nashiym; ఒక స్త్రీ (H0582 వలె విస్తృత అర్థంలో ఉపయోగించబడుతుంది)",781
H803,אֲשׁוּיָה,Old Testament,Hebrew,noun,foundation,,151
H804,אַשּׁוּר אַשּׁוּר,Old Testament,Hebrew,noun location,"also his descendants and the country occupied by them (i.e. Assyria), its region and its empire",,2
H805,אֲשׁוּרִי אַשּׁוּרִי,Old Testament,Hebrew,adjective,a district in Israel,,2
H806,אַשׁחוּר,Old Testament,Hebrew,noun proper,an Israelite,,2
H807,אֲשִׁימָא,Old Testament,Hebrew,noun proper,a deity of Hamath,,1
H808,אָשִׁישׁ,Old Testament,Hebrew,noun,a (ruined) foundation,,1
H809,אֲשִׁישָׁה,Old Testament,Hebrew,noun,something closely pressed together; a cake of raisins or other comfits,,4
H810,אֶשֶׁך,Old Testament,Hebrew,noun,a testicle (as a lump),,1
H811,אֶשׁכּוֹל אֶשׁכּוֹל,Old Testament,Hebrew,noun,a bunch of grapes or other fruit,,9
H812,אֶשׁכּוֹל,Old Testament,Hebrew,noun proper,"the name of an Amorite, also of a valley in Israel",,6
H813,אַשׁכְּנַז,Old Testament,Hebrew,noun proper,"a Japhethite, also his descendants",,3
H814,אֶשׁכָּר,Old Testament,Hebrew,noun,present.,,2
H815,אֵשֶׁל,Old Testament,Hebrew,noun,a grove of any kind,,3
H816,אָשַׁם אָשֵׁם,Old Testament,Hebrew,verb,"be(-come, made) desolate, destroy, X greatly, be(-come, found, hold) guilty, offend (acknowledge offence), trespass.",,35
H817,אָשָׁם,Old Testament,Hebrew,noun,"(offering for) sin, trespass (offering).",,46
H818,אָשֵׁם,Old Testament,Hebrew,adjective,guilty.,,3
H819,אַשׁמָה,Old Testament,Hebrew,noun,"a fault, the presentation of a sin-offering",,19
H820,אַשׁמָן,Old Testament,Hebrew,noun,a fat-field,,1
H821,אַשׁמוּרָה אַשׁמוּרָה אַשׁמוֹרֶת,Old Testament,Hebrew,noun,a night watch,,7
H822,אֶשׁנָב,Old Testament,Hebrew,noun,lattice.,,2
H823,אַשׁנָה,Old Testament,Hebrew,noun location,the name of two places in Israel,,2
H824,אֶשׁעָן,Old Testament,Hebrew,noun location,a place in Israel,,1
H825,אַשָּׁף,Old Testament,Hebrew,noun,i.e. practice enchantment)],,2
A826,אַשָּׁף,Old Testament,Aramaic,noun,astrologer,,6
H827,אַשׁפָּה,Old Testament,Hebrew,noun,a quiver or arrow-case,,6
H828,אַשׁפְּנַז,Old Testament,Hebrew,noun proper,a Babylonian eunuch,,1
H829,אֶשׁפָּר,Old Testament,Hebrew,noun,a measured portion,,2
H830,אַשׁפּוֹת אַשׁפּוֹת שְׁפוֹת,Old Testament,Hebrew,noun,from H8192 (in the sense of scraping)],,7
H831,אַשׁקְלוֹן,Old Testament,Hebrew,noun location,a place in Israel,,12
H832,אֶשׁקְלוֹנִי,Old Testament,Hebrew,adjective,Ashkelonite (collectively) or inhabitant of Ashkelon,,1
H833,אָשַׁר אָשֵׁר,Old Testament,Hebrew,verb,"(figuratively) to go forward, be honest, proper",,17
H834,אֲשֶׁר,Old Testament,Hebrew,pronoun reflexive,"(as adverb) when, where, how; (as conjunction) because, in order that, etc",,5503
H835,אֶשֶׁר,Old Testament,Hebrew,noun,how happy!,,45
H836,אָשֵׁר,Old Testament,Hebrew,noun proper,also a place in Israel,,43
H837,אוֹשֶׁר,Old Testament,Hebrew,noun,happiness,,1
H838,אָשׁוּר אַשּׁוּר,Old Testament,Hebrew,noun,step.,,9
H839,אֲשׁוּר,Old Testament,Hebrew,noun,the cedar tree or some other light elastic wood,,1
H840,אֲשַׂראֵל,Old Testament,Hebrew,noun proper,an Israelite,,1
H841,אֲשַׂראֵלָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H842,אֲשֵׁרָה אֲשֵׁירָה,Old Testament,Hebrew,noun proper,happy; Asherah (or Astarte) a Phoenician goddess; also an image of the same,,40
H843,אָשֵׁרִי,Old Testament,Hebrew,adjective,an Asherite (collectively) or descendant of Asher,,1
H844,אַשׂרִיאֵל,Old Testament,Hebrew,noun proper,the name of two Israelites,,1
H845,אַשׂרִאֵלִי,Old Testament,Hebrew,adjective,an Asrielite (collectively) or descendant of Asriel,,1
A846,אוּשַּׁרנָא,Old Testament,Aramaic,noun,a wall (from its uprightness),,2
H847,אֶשׁתָּאוֹל אֶשׁתָּאוֹל,Old Testament,Hebrew,noun location,a place in Israel,,7
H848,אֶשׁתָּאוּלִי,Old Testament,Hebrew,adjective,an Eshtaolite (collectively) or inhabitant of Eshtaol,,1
A849,אֶשׁתַּדּוּר,Old Testament,Aramaic,noun,rebellion,,2
H850,אֶשׁתּוֹן,Old Testament,Hebrew,noun proper,an Israelite,,2
H851,אֶשׁתְּמוַֹע אֶשׁתְּמוַֹע אֶשׁתְּמוֹה,Old Testament,Hebrew,noun location,a place in Israel,,6
A852,אָת,Old Testament,Aramaic,noun,a portent,,3
H853,אֵת,Old Testament,Hebrew,particle unrepresented in English,(properly) self; (generally) used to point out the object of a verb (or preposition) more definitely; (hence) even or namely,వస్తు గుర్తు (వ్యాకరణం),11061
H854,אֵת,Old Testament,Hebrew,preposition,"generally) with, by, at, among, etc",,808
H855,אֵת,Old Testament,Hebrew,noun,plowshare.,,5
H856,אֶתבַּעַל,Old Testament,Hebrew,noun proper,a Phoenician king,,1
H857,אָתָה אָתָא,Old Testament,Hebrew,verb,"things to) come (upon), bring.",,21
A858,אָתָה אָתָא,Old Testament,Aramaic,verb,bring.,,16
H859,אַתּתָּה אַתּתָּ אַת אַתּתִּי אַתּתֶּם אַתּתֶּן אַתּתֵּנָה אַתּתֵּנָּה,Old Testament,Hebrew,personal pronoun,or (plural) ye and you,,1103
H860,אָתוֹן,Old Testament,Hebrew,noun,a female donkey (from its docility),,34
A861,אַתּתּוּן,Old Testament,Aramaic,noun,probably a fire-place; furnace,,10
H862,אַתּתּוּק אַתּתִּיק,Old Testament,Hebrew,noun,a ledge or offset in a building,,6
H863,אִתּתַּי אִיתַּי,Old Testament,Hebrew,noun proper,the name of a Gittite and of an Israelite,,9
H864,אֵתָם,Old Testament,Hebrew,noun location,a place in the Desert,,4
H865,אֶתמוֹל אִתמוֹל אֶתמוּל,Old Testament,Hebrew,verb,"+ heretofore, of late (old), + times past, yester(day).",,8
H866,אֶתנָה,Old Testament,Hebrew,noun,a present (as the price of harlotry),,1
H867,אֶתנִי,Old Testament,Hebrew,noun proper,an Israelite,,1
H868,אֶתנַן,Old Testament,Hebrew,noun,reward.,,11
H869,אֶתנַן,Old Testament,Hebrew,noun proper,an Israelite,,1
A870,אֲתַר,Old Testament,Aramaic,noun,place.,,8
H871,אֲתָרִים,Old Testament,Hebrew,noun location,a place near Israel,,1
H872,בְּאָה,Old Testament,Hebrew,noun,an entrance to a building,,1
A873,בִּאוּשׁ,Old Testament,Aramaic,noun,wicked,,1
H874,בָּאַר,Old Testament,Hebrew,verb,(figuratively) to explain,,3
H875,בְּאֵר,Old Testament,Hebrew,noun,well.,,37
H876,בְּאֵר,Old Testament,Hebrew,noun location,"a place in the Desert, also one in Israel",,2
H877,בּוֹאר,Old Testament,Hebrew,noun,a cistern,,2
H878,בְּאֵרָא,Old Testament,Hebrew,noun proper,an Israelite,,1
H879,בְּאֵר אֵלִים,Old Testament,Hebrew,noun location,a place in the Desert,,1
H880,בְּאֵרָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H881,בְּאֵרוֹת,Old Testament,Hebrew,noun location,a place in Israel,,5
H882,בְּאֵרִי,Old Testament,Hebrew,noun proper,the name of a Hittite and of an Israelite,,2
H883,בְּאֵר לַחַי רוֹאִי,Old Testament,Hebrew,noun location,a place in the Desert,,3
H884,בְּאֵר שֶׁבַע,Old Testament,Hebrew,noun location,a place in Israel,,34
H885,בְּאֵרוֹת בְּנֵי ־ יַעֲקַן,Old Testament,Hebrew,noun location,a place in the Desert,,1
H886,בְּאֵרוֹתִי,Old Testament,Hebrew,adjective,a Beerothite or inhabitant of Beeroth,,5
H887,בָּאַשׁ,Old Testament,Hebrew,verb,"loathsome, odious), (cause a, make to) stink(-ing savour), X utterly.",,17
A888,בְּאֵשׁ,Old Testament,Aramaic,verb,displease,,1
H889,בְּאוֹשׁ,Old Testament,Hebrew,noun,a stench,,3
H890,בָּאשָׁה,Old Testament,Hebrew,noun,stink-weed or any other noxious or useless plant,,1
H891,בְּאוּשִׁים,Old Testament,Hebrew,noun,poison-berries,,2
H892,בָּבָה,Old Testament,Hebrew,noun,something hollowed (as a gate); pupil of the eye,,1
H893,בֵּבַי,Old Testament,Hebrew,noun proper,an Israelite,,6
H894,בָּבֶל,Old Testament,Hebrew,noun location,including Babylonia and the Babylonian empire,,262
A895,בָּבֶל,Old Testament,Aramaic,noun location,Babylon,,25
A896,בַּבלִי,Old Testament,Aramaic,adjective,a Babylonian,,1
H897,בַּג,Old Testament,Hebrew,noun,food,,1
H898,בָּגַד,Old Testament,Hebrew,verb,to pillage,,48
H899,בֶּגֶד,Old Testament,Hebrew,noun,"cloth(-es, ing), garment, lap, rag, raiment, robe, X very (treacherously), vesture, wardrobe.",,218
H900,בּוֹגְדוֹת,Old Testament,Hebrew,noun,treacheries,,1
H901,בָּגוֹד,Old Testament,Hebrew,adjective,treacherous,,3
H902,בִּגוַי,Old Testament,Hebrew,noun proper,an Israelite,,6
H903,בִּגתָּא,Old Testament,Hebrew,noun proper,a eunuch of Xerxes,,1
H904,בִּגתָּן בִּגתָּנָא,Old Testament,Hebrew,noun proper,a eunuch of Xerxes,,2
H905,בַּד,Old Testament,Hebrew,noun,(figuratively) chief of a city,,200
H906,בַּד,Old Testament,Hebrew,noun,flaxen thread or yarn; (hence) a linen garment,,23
H907,בַּד,Old Testament,Hebrew,noun,lie.,,6
H908,בָּדָא,Old Testament,Hebrew,verb,feign.,,2
H909,בָּדַד,Old Testament,Hebrew,verb,to divide; (reflexively) be solitary,,3
H910,בָּדָד,Old Testament,Hebrew,verb,separately,,13
H911,בְּדַד,Old Testament,Hebrew,noun proper,an Edomite,,2
H912,בֵּדְיָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H913,בְּדִיל,Old Testament,Hebrew,noun,tin,,6
H914,בָּדַל,Old Testament,Hebrew,verb,"separate, distinguish, differ, select, etc.)",,42
H915,בָּדָל,Old Testament,Hebrew,noun,a part,,1
H916,בְּדוֹלַח,Old Testament,Hebrew,noun,others a pearl,,2
H917,בְּדָן,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H918,בָּדַק,Old Testament,Hebrew,verb,to gap open; used only as a denominative from H919],,1
H919,בֶּדֶק,Old Testament,Hebrew,noun,+ calker.,,10
H920,בִּדקַר,Old Testament,Hebrew,noun proper,an Israelite,,1
A921,בְּדַר,Old Testament,Aramaic,verb,to scatter,,1
H922,בּוֹהוּ,Old Testament,Hebrew,noun,void.,,3
H923,בַּהַט,Old Testament,Hebrew,noun,white marble or perhaps alabaster,,1
A924,בְּהִילוּ,Old Testament,Aramaic,verb,hastily,,1
H925,בָּהִיר,Old Testament,Hebrew,adjective,shining,,1
H926,בָּהַל,Old Testament,Hebrew,verb,"amazed, dismayed, rash), (be, get, make) haste(-n, -y, -ily), (give) speedy(-ily), thrust out, trouble, vex.",,39
A927,בְּהַל,Old Testament,Aramaic,verb,hasten,,11
H928,בֶּהָלָה,Old Testament,Hebrew,noun,destruction,,4
H929,בְּהֵמָה,Old Testament,Hebrew,noun,cattle.,,190
H930,בְּהֵמוֹת,Old Testament,Hebrew,noun,but really a singular of Egyptian derivation],,1
H931,בּוֹהֶן,Old Testament,Hebrew,noun,great toe.,,16
H932,בּוֹהַן,Old Testament,Hebrew,noun proper,"Bohan, an Israelite",,2
H933,בּוֹהַק,Old Testament,Hebrew,noun,white scurf,,1
H934,בּוֹהֶרֶת,Old Testament,Hebrew,noun,a whitish spot on the skin,,12
H935,בּוֹא,Old Testament,Hebrew,verb,"apply, attain, X be, befall, + besiege, bring (forth, in, into, to pass), call, carry, X certainly, (cause, let, thing for) to come (against, in, out, upon, to pass), depart, X doubtless again, + eat, + employ, (cause to) enter (in, into, -tering, -trance, -try), be fallen, fetch, + follow, get, give, go (down, in, to war), grant, + have, X indeed, (in-)vade, lead, lift (up), mention, pull in, put, resort, run (down), send, set, X (well) stricken (in age), X surely, take (in), way.",వెళ్ళడానికి లేదా రావడానికి (అనేక రకాల అప్లికేషన్లలో),2593
H936,בּוּז,Old Testament,Hebrew,verb,"despise, X utterly.",,11
H937,בּוּז,Old Testament,Hebrew,noun,"despised, shamed.",,12
H938,בּוּז,Old Testament,Hebrew,noun proper,"the name of a son of Nahor, and of an Israelite",,3
H939,בּוּזָה,Old Testament,Hebrew,noun,something scorned; an object of contempt,,1
H940,בּוּזִי,Old Testament,Hebrew,adjective,a Buzite or descendant of Buz,,2
H941,בּוּזִי,Old Testament,Hebrew,noun proper,an Israelite,,1
H942,בַּוַּי,Old Testament,Hebrew,noun proper,an Israelite,,1
H943,בּוּך,Old Testament,Hebrew,verb,(perplexed).,,3
H944,בּוּל,Old Testament,Hebrew,noun,etc.),,2
H945,בּוּל,Old Testament,Hebrew,noun,the eighth Hebrew month,,1
H946,בּוּנָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H947,בּוּס,Old Testament,Hebrew,verb,"tread (down, under (foot)), be polluted.",,12
H948,בּוּץ,Old Testament,Hebrew,noun,probably cotton (of some sort),,8
H949,בּוֹצֵץ,Old Testament,Hebrew,noun location,a rock near Michmash,,1
H950,בּוּקָה,Old Testament,Hebrew,noun,emptiness (as adjective),,1
H951,בּוֹקֵר,Old Testament,Hebrew,noun,H1241,,1
H952,בּוּר,Old Testament,Hebrew,verb,to bore; (figuratively) examine,,1
H953,בּוֹר,Old Testament,Hebrew,noun,"dungeon, fountain, pit, well.",,70
H954,בּוּשׁ,Old Testament,Hebrew,verb,by implication) to be disappointed or delayed,,113
H955,בּוּשָׁה,Old Testament,Hebrew,noun,shame,,4
A956,בּוּת,Old Testament,Aramaic,verb,to lodge over night,,1
H957,בַּז,Old Testament,Hebrew,noun,"prey, spoil(-ed).",,25
H958,בָּזָא,Old Testament,Hebrew,verb,probably to cleave,,2
H959,בָּזָה,Old Testament,Hebrew,verb,"disdain, contemn(-ptible), + think to scorn, vile person.",,44
H960,בָּזוֹה,Old Testament,Hebrew,adjective,scorned,,1
H961,בִּזָּה,Old Testament,Hebrew,noun,spoil.,,10
H962,בָּזַז,Old Testament,Hebrew,verb,"gather, (take) for a prey, rob(-ber), spoil, take (away, spoil), X utterly.",,43
H963,בִּזָּיוֹן,Old Testament,Hebrew,noun,disesteem,,1
H964,בִּזיוֹתיָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H965,בָּזָק,Old Testament,Hebrew,noun,a flash of lightning,,1
H966,בֶּזֶק,Old Testament,Hebrew,noun location,a place in Israel,,3
H967,בָּזַר,Old Testament,Hebrew,verb,to disperse,,2
H968,בִּזתָּא,Old Testament,Hebrew,noun proper,a eunuch of Xerxes,,1
H969,בָּחוֹן,Old Testament,Hebrew,noun,an assayer or metals,,1
H970,בָּחוּר בָּחוּר,Old Testament,Hebrew,noun,"chosen, X hole.",,64
H971,בַּחִין,Old Testament,Hebrew,noun,a watch-tower of besiegers,,1
H972,בָּחִיר,Old Testament,Hebrew,noun,"chosen one, elect.",,13
H973,בָּחַל,Old Testament,Hebrew,verb,get hastily (from the margin for H0926).,,2
H974,בָּחַן,Old Testament,Hebrew,verb,"prove, tempt, try (trial).",,29
H975,בַּחַן,Old Testament,Hebrew,noun,a watch-tower,,1
H976,בּוֹחַן,Old Testament,Hebrew,noun,trial,,1
H977,בָּחַר,Old Testament,Hebrew,verb,"appoint, choose (choice), excellent, join, be rather, require.",,152
H978,בַּחֲרוּמִי,Old Testament,Hebrew,adjective,a Bacharumite or inhabitant of Bachurim,,1
