Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H2465,חֶלֶד,"life (as a fleeting portion of time)",,జీవితం,Hebrew,Old Testament
H2466,חֵלֶד,"cheled (khay'-led) n/p.",,హేలెడ్,Hebrew,Old Testament
H2467,חוֹלֶד,"a weasel (from its gliding motion)",,దాని జారుడు కదలిక నుండి ఒక ముంగిస,Hebrew,Old Testament
H2468,חוּלדָּה,"Chuldah (khool-daw') n/p.",,హుల్దా,Hebrew,Old Testament
H2469,חֶלדַּי,"Chelday (khel-dah'-ee) n/p.",,దినము,Hebrew,Old Testament
H2470,חָלָה,"chalah (khaw-law') v.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2471,חַלָּה,"a cake (as usually punctured)",,సాధారణంగా కుట్టిన కేక్,Hebrew,Old Testament
H2472,חֲלוֹם חֲלוֹם,"a dream",,కల,Hebrew,Old Testament
H2473,חוֹלוֹן חוֹלוֹן,"Cholown (kho-lone') (or (shortened) Cholon kho-lone') n/l.",,ఒకటి,Hebrew,Old Testament
H2474,חַלּוֹן,"challown (khal-lone') n-e.",,ఒకటి,Hebrew,Old Testament
H2475,חֲלוֹף,"(properly) surviving",,సరిగా ప్రాణాలతో బయటపడిన,Hebrew,Old Testament
H2476,חֲלוּשָׁה,"defeat",,ఓటమి,Hebrew,Old Testament
H2477,חֲלַח,"Chalach (khal-akh') n/l.",,హలక్,Hebrew,Old Testament
H2478,חַלחוּל,"Chalchuwl (khal-khool') n/l.",,హల్కూల్,Hebrew,Old Testament
H2479,חַלחָלָה,"writhing (in childbirth)",,బిడ్డ,Hebrew,Old Testament
H2480,חָלַט,"chalat (khaw-lat') v.",,హలాట్,Hebrew,Old Testament
H2481,חֲלִי,"a trinket (as polished)",,మెరుగుపెట్టిన ఒక ఆభరణం,Hebrew,Old Testament
H2482,חֲלִי,"Chaliy (khal-ee') n/l.",,హలీ,Hebrew,Old Testament
H2483,חֳלִי,"malady",ఖొలీ,వ్యాధి,Hebrew,Old Testament
H2484,חֶליָה,"a trinket",,ఒక ఆభరణం,Hebrew,Old Testament
H2485,חָלִיל,"a flute (as perforated)",,రంధ్రాలుగల పిల్లనగ్రోవి,Hebrew,Old Testament
H2486,חָלִילָה חָלִלָה,"chaliylah (khaw-lee'-law) (or chalilah khaw-lee'-law) inj.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2487,חֲלִיפָה,"alternation",,జాతి,Hebrew,Old Testament
H2488,חֲלִיצָּה,"spoil",,నూనె,Hebrew,Old Testament
H2489,חֵלְכָא חֵלְכָה,"chelka' (khay-lek-aw') (or chelkah khay-lek-aw') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2490,חָלַל,"chalal (khaw-lal') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2491,חָלָל,"chalal (khaw-lawl') adj.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2492,חָלַם,"חלם",ఖాలమ్,కలగను,Hebrew,Old Testament
H2493,חֵלֶם,"a dream",,కల,Hebrew,Old Testament
H2494,חֵלֶם,"Chelem (khay'lem) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2495,חַלָּמוּת,"probably purslain",,బహుశా పచ్చికూర,Hebrew,Old Testament
H2496,חַלָּמִישׁ,"flint",,చకుముకి రాయి,Hebrew,Old Testament
H2497,חֵלוֹן,"Chelon (khay-lone') n/p.",,ఒకటి,Hebrew,Old Testament
H2498,חָלַף,"chalaph (khaw-laf') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2499,חֲלַף,"chalaph (khal-af') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2500,חֵלֶף,"(properly) exchange",,సరిగా మార్పిడి,Hebrew,Old Testament
H2501,חֶלֶף,"Cheleph (kheh'lef) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2502,חָלַץ,"chalats (khaw-lats') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2503,חֶלֶץ חֵלֶץ,"Chelets (kheh'-lets) (or Chelets khay'-lets) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2504,חָלָץ,"only in the dual",,జంటగా మాత్రమే,Hebrew,Old Testament
H2505,חָלַק,"chalaq (khaw-lak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2506,חֵלֶק,"(properly) smoothness (of the tongue)",,నాలుక,Hebrew,Old Testament
H2507,חֵלֶק,"Cheleq (khay'-lek) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2508,חֲלָק,"a part",,ఒక భాగం,Hebrew,Old Testament
H2509,חָלָק,"chalaq (khaw-lawk') adj.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2510,חָלָק,"Chalaq (khaw-lawk') n/l.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2511,חַלָּק,"smooth",,నునుపైన,Hebrew,Old Testament
H2512,חַלּוּק,"smooth",,మృదువైన,Hebrew,Old Testament
H2513,חֶלקָה,"(properly) smoothness",,సరిగా నునుపుదనం,Hebrew,Old Testament
H2514,חֲלַקָּה,"flattery",,ముఖస్తుతి,Hebrew,Old Testament
H2515,חֲלוּקָּה,"a distribution",,పంపిణీ,Hebrew,Old Testament
H2516,חֶלקִי,"a Chelkite or descendant of Chelek",,అంతం,Hebrew,Old Testament
H2517,חֶלקַי,"Chelqay (khel-kah'ee) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2518,חִלקִיָה חִלקִיָהוּ,"Chilqiyah (khil-kee-yaw') (or Chilqiyahuw khil-kee-yaw'-hoo') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2519,חֲלַקלַקָּה,"(properly) something very smooth",,సరిగా చాలా నునుపైనది,Hebrew,Old Testament
H2520,חֶלקַת,"Chelqath (khel-kath') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2521,חֶלקַת הַצּוּרִים,"Chelqath hats-Tsu-riym (khel-kath' hats-tsoo-reem') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2522,חָלַשׁ,"chalash (khaw-lash') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2523,חַלָּשׁ,"challash (khal-lawsh') adj.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H2524,חָם,"a father-in-law (as in affinity)",,తండ్రి,Hebrew,Old Testament
H2525,חָם,"cham (khawm) adj.",,వేడి,Hebrew,Old Testament
H2526,חָם,"Cham (khawm) n/l.",,హాము,Hebrew,Old Testament
H2527,חוֹם,"heat",,వేడి,Hebrew,Old Testament
H2528,חֱמָא חֲמָה,"anger",,కోపం,Hebrew,Old Testament
H2529,חֶמאָה חֵמָה,"curdled milk or cheese",,పాలు,Hebrew,Old Testament
H2530,חָמַד,"to delight in",,వెలుగు,Hebrew,Old Testament
H2531,חֶמֶד,"delight",,వెలుగు,Hebrew,Old Testament
H2532,חֶמדָּה,"chemdah (khem-daw') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2533,חֶמדָּן,"Chemdan (khem-dawn') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2534,חֵמָה חֵמָא,"heat",,వేడి,Hebrew,Old Testament
H2535,חַמָּה,"heat",,ఉష్ణం,Hebrew,Old Testament
H2536,חַמּוּאֵל,"Chammuw'el (kham-moo-ale') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2537,חֲמוּטַל חֲמִיטַּל,"Chamuwtal (kham-oo-tal') (or Chamiytal kham-ee-tal') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2538,חָמוּל,"Chamuwl (khaw-mool') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2539,חָמוּלִי,"Hamulites",,అర్థం తెలియదు,Hebrew,Old Testament
H2540,חַמּוֹן,"Chammown (kham-mone') n/l.",,ఒకటి,Hebrew,Old Testament
H2541,חָמוֹץ,"(properly) violent",,సరిగా హింసాత్మకమైన,Hebrew,Old Testament
H2542,חַמּוּק,"a wrapping",,చుట్టడం,Hebrew,Old Testament
H2543,חֲמוֹר חֲמוֹר,"a male donkey (from its dun red)",,గాడిద,Hebrew,Old Testament
H2544,חֲמוֹר,"Chamowr (kham-ore') n/p.",,గాడిద,Hebrew,Old Testament
H2545,חֲמוֹת חֲמוֹת,"a mother-in-law",,తల్లి,Hebrew,Old Testament
H2546,חוֹמֶט,"a lizard (as creeping)",,బల్లులు ప్రాకుతున్నట్లు,Hebrew,Old Testament
H2547,חוּמטָּה,"Chumtah (khoom-taw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2548,חָמִיצּ,"chamiyts (khaw-meets') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2549,חֲמִישִׁי חֲמִשִּׁי,"chamiyshiy (kham-ee-shee') (or chamishshiy kham-ish-shee') adj.",,ఐదవ,Hebrew,Old Testament
H2550,חָמַל,"chamal (khaw-mal') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2551,חֶמלָה,"commiseration",,జాలి,Hebrew,Old Testament
H2552,חָמַם,"chamam (khaw-mam') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2553,חַמָּן,"a sun-pillar",,సూర్యుడు,Hebrew,Old Testament
H2554,חָמַס,"chamac (khaw-mas') v.",,హింసించు,Hebrew,Old Testament
H2555,חָמָס,"violence",,హింస,Hebrew,Old Testament
H2556,חָמֵץ,"chamets (khaw-mates') v.",ఖామేత్స్,పులిసిన,Hebrew,Old Testament
H2557,חָמֵץ,"ferment",,పులియబెట్టు,Hebrew,Old Testament
H2558,חוֹמֶץ,"vinegar",,వెనిగర్,Hebrew,Old Testament
H2559,חָמַק,"chamaq (khaw-mak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2560,חָמַר,"chamar (khaw-mar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2561,חֶמֶר,"wine (as fermenting)",,ద్రాక్షారసం,Hebrew,Old Testament
H2562,חֲמַר,"wine",,ద్రాక్షారసం,Hebrew,Old Testament
H2563,חוֹמֶר,"(properly) a bubbling up",,బంకమట్టి,Hebrew,Old Testament
H2564,חֵמָר,"bitumen (as rising to the surface)",,పాపం,Hebrew,Old Testament
H2565,חֲמוֹרָה,"a heap",,కుప్ప,Hebrew,Old Testament
H2566,חַמרָן,"Chamran (kham-rawn') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2567,חָמַשׁ,"chamash (khaw-mash') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2568,חָמֵשׁ חֲמִשָּׁה,"chamesh (khaw-maysh') (masculine chamishshah kham-ish-shaw) n-e.",,అయిదు,Hebrew,Old Testament
H2569,חוֹמֶשׁ,"a fifth tax",,ఐదవ పన్ను,Hebrew,Old Testament
H2570,חוֹמֶשׁ,"the abdomen (as obese)",,బొడ్డు కింద ఊబకాయం,Hebrew,Old Testament
H2571,חָמוּשׁ,"chamush (khaw-moosh') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2572,חֲמִשִּׁים,"chamishshiym (kham-ish-sheem') num.",,యాభై,Hebrew,Old Testament
H2573,חֵמֶת,"a skin bottle (as tied up)",,చర్మపు సీసా మూసి కట్టినట్లు,Hebrew,Old Testament
H2574,חֲמָת,"Chamath (kham-awth') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2575,חַמַּת,"Chammath (klam-math') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2576,חַמּוֹת דּוֹאר,"Chammoth Do'r (kham-moth' dore) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2577,חֲמָתִי,"a Chamathite or native of Chamath",,హమాతీ,Hebrew,Old Testament
H2578,חֲמַת צּוֹבָה,"Chamath Tsowbah (kham-ath' tso-baw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2579,חֲמַת רַבָּה,"Chamath Rabbah (kham-ath' rab-baw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2580,חֵן,"graciousness",ఖేన్,కృప,Hebrew,Old Testament
H2581,חֵן,"Chen (khane) n/p.",,కృప,Hebrew,Old Testament
H2582,חֵנָדָד,"Chenadad (khay-naw-dawd') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2583,חָנָה,"chanah (khaw-naw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2584,חַנָּה,"Channah (khan-naw') n/p.",,హన్నా,Hebrew,Old Testament
H2585,חֲנוֹך,"Chanowk (khan-oke') n/l.",,హానోకు,Hebrew,Old Testament
H2586,חָנוּן,"Chanuwn (khaw-noon') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2587,חַנּוּן,"channuwn (khan-noon') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2588,חָנוּת,"(properly) a vault or cell (with an arch)",,కమానుతో గది లేదా సెల్,Hebrew,Old Testament
H2589,חַנּוֹת,"supplication",,యాచన,Hebrew,Old Testament
H2590,חָנַט,"to spice",,సుగంధ ద్రవ్యాలు వేయడానికి,Hebrew,Old Testament
H2591,חִנטָּא,"wheat",,గోధుమ,Hebrew,Old Testament
H2592,חַנִּיאֵל,"Channiy'el (khan-nee-ale') n/p.",,హన్నీయేలు,Hebrew,Old Testament
H2593,חָנִיכּ,"chaniyk (kaw-neek') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2594,חֲנִינָה,"graciousness",,దయ,Hebrew,Old Testament
H2595,חֲנִיתּ,"a lance (for thrusting",,నెట్టడానికి ఒక బల్లెం,Hebrew,Old Testament
H2596,חָנַך,"chanak (khaw-nak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2597,חֲנוּכָּא,"consecration",,ప్రతిష్ఠ,Hebrew,Old Testament
H2598,חֲנוּכָּה,"initiation",,ప్రారంభం,Hebrew,Old Testament
H2599,חֲנוֹכִי,"a Chanokite (collectively) or descendants of Chanok",,అంతం,Hebrew,Old Testament
H2600,חִנָּם,"chinnam (khin-nawm') adv.",,అర్థం తెలియదు,Hebrew,Old Testament
H2601,חֲנַמאֵל,"Chanam'el (khan-am-ale') n/p.",,హనమెయేలు,Hebrew,Old Testament
H2602,חֲנָמָל,"perhaps the aphis or plantlouse",,బహుశా ఆఫిడ్ లేదా మొక్క పేను,Hebrew,Old Testament
H2603,חָנַן,"chanan (khaw-nan') v.",ఖానన్,కరుణించు,Hebrew,Old Testament
H2604,חֲנַן,"chanan (khan-an') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2605,חָנָן,"Chanan (khaw-nawn') n/p.",,హానాను,Hebrew,Old Testament
H2606,חֲנַנאֵל,"Chanan'el (khan-an-ale') n/p.",,ഹനనేలు,Hebrew,Old Testament
H2607,חֲנָנִי,"Chananiy (khan-aw-nee') n/p.",,హననీయు,Hebrew,Old Testament
H2608,חֲנַניָה חֲנַניָהוּ,"Chananyah (khan-an-yaw') (or Chananyahuw khan-an-yaw'-hoo) n/p.",,హనన్యా లేదా హనన్యాహు,Hebrew,Old Testament
H2609,חָנֵס,"Chanec (khaw-nace') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2610,חָנֵף,"chaneph (khaw-nafe') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2611,חָנֵף,"chaneph (khaw-nafe') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2612,חוֹנֶף,"moral filth",,నీతిమాలిన మురికి,Hebrew,Old Testament
H2613,חֲנוּפָה,"impiety",,భక్తిహీనత,Hebrew,Old Testament
H2614,חָנַק,"chanaq (khaw-nak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2615,חַנָּתוֹן,"Channathon (khan-naw-thone') n/l.",,ఒకటి,Hebrew,Old Testament
H2616,חָסַד,"chacad (khaw-sad') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2617,חֵסֵד,"kindness",ఖెసెద్,కృప,Hebrew,Old Testament
H2618,חֶסֶד,"Checed (kheh'-sed) n/p.",,కృప,Hebrew,Old Testament
H2619,חֲסַדיָה,"Chacadyah (khas-ad-yaw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2620,חָסָה,"chacah (khaw-saw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2621,חוֹסָה,"Chocah (kho-saw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2622,חָסוּת,"confidence",,నమ్మకం,Hebrew,Old Testament
H2623,חָסִידּ,"chaciyd (khaw-seed') adj.",,విత్తనం,Hebrew,Old Testament
H2624,חֲסִידָּה,"the kind (maternal) bird",,పక్షి,Hebrew,Old Testament
H2625,חָסִיל,"the ravager",,విధ్వంసకుడు,Hebrew,Old Testament
H2626,חֲסִין,"chaciyn (khas-een') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2627,חַסִּיר,"chacciyr (khas-seer') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2628,חָסַל,"chacal (khaw-sal') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2629,חָסַם,"chacam (khaw-sam') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2630,חָסַן,"chacan (khaw-san') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2631,חֲסַן,"chacan (khas-an') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2632,חֵסֶן,"strength",,బలం,Hebrew,Old Testament
H2633,חוֹסֶן,"wealth",,సంపద,Hebrew,Old Testament
H2634,חָסוֹן,"chacon (khaw-sone') adj.",,కుమారుడు,Hebrew,Old Testament
H2635,חֲסַף,"a clod",,ఒక మట్టిపెడ్డ,Hebrew,Old Testament
H2636,חַספַּס,"chacpac (khas-pas') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2637,חָסֵר,"chacer (khaw-sare') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2638,חָסֵר,"chacer (khaw-sare') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2639,חֶסֶר,"lack",,కొరత,Hebrew,Old Testament
H2640,חוֹסֶר,"poverty",,పేదరికం,Hebrew,Old Testament
H2641,חַסרָה,"Chacrah (khas-raw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2642,חֶסרוֹן,"deficiency",,లోపం,Hebrew,Old Testament
H2643,חַף,"chaph (khaf) adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2644,חָפָא,"chapha' (khaw-faw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2645,חָפָה,"chaphah (khaw-faw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2646,חוּפָּה,"a canopy",,ఒక పందిరి,Hebrew,Old Testament
H2647,חוּפָּה,"Chuppah (khoop-paw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2648,חָפַז,"chaphaz (khaw-faz') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2649,חִפָּזוֹן,"hasty flight",,వెలుగు,Hebrew,Old Testament
H2650,חוּפִּים,"Chuppiym (khoop-peem') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2651,חוֹפֶן,"a fist (only in the dual)",,పిడికిలి మాత్రమే ద్వంద్వంలో,Hebrew,Old Testament
H2652,חָפנִי,"Chophniy (khof-nee') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2653,חָפַף,"chophaph (khaw-faf') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2654,חָפֵץ,"chaphets (khaw-fates') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2655,חָפֵץ,"chaphets (khaw-fates') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2656,חֵפֶץ,"pleasure",,సతషమ,Hebrew,Old Testament
H2657,חֶפצִּי בָּהּ,"Chephtsiy bahh (khef-tsee'baw) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2658,חָפַר,"chaphar (khaw-far') v.",,తవ్వు,Hebrew,Old Testament
H2659,חָפֵר,"chapher (khaw-fare') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2660,חֵפֶר,"Chepher (khay'-fer) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2661,חֲפוֹר חַפַרפֵּרָה,"a burrower",,అర్థం తెలియదు,Hebrew,Old Testament
H2662,חֶפרִי,"a Chephrite (collectively) or descendants of Chepher",,అంతం,Hebrew,Old Testament
H2663,חֲפָרַיִם,"Chapharayim (khaf-aw-rah'-yim) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2664,חָפַשׂ,"chaphas (khaw-fas') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2665,חֵפֶשׂ,"something covert",,అర్థం తెలియదు,Hebrew,Old Testament
H2666,חָפַשׁ,"chaphash (khaw-fash') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2667,חוֹפֶשׁ,"something spread loosely",,అర్థం తెలియదు,Hebrew,Old Testament
H2668,חוּפשָׁה,"liberty (from slavery)",,బానిస,Hebrew,Old Testament
H2669,חָפשׁוּת חָפשִׁיתּ,"prostration by sickness (with H1004",,అర్థం తెలియదు,Hebrew,Old Testament
H2670,חָפשִׁי,"chophshiy (khof-shee') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2671,חֵץ,"(properly) a piercer",,బాణము,Hebrew,Old Testament
H2672,חָצַב חָצֵב,"chatsab (khaw-tsab') (or chatseb khaw-tsabe') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2673,חָצָה,"chatsah (khaw-tsaw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2674,חָצוֹר,"Chatsowr (khaw-tsore') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2675,חָצוֹר חֲדַתּתָּה,"Chatsowr Chadattah (khaw-tsore' khad-at-taw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2676,חָצוֹת,"the middle (of the night)",,రాత్రి,Hebrew,Old Testament
H2677,חֵצִי,"the half or middle",,సగం లేదా మధ్య,Hebrew,Old Testament
H2678,חִצִּי חֵצִי,"an arrow",,ఒక బాణం,Hebrew,Old Testament
H2679,חֲצִי הַמנוּחוֹת,"Chatsiy ham-Mnuchowth (chat-tsee' ham-men-oo-khoth') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2680,חֲצִי הַמְּנַחתִּי,"Chatsiy ham-Mnachti (khat-see' ham-men-akh-tee') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2681,חָצִיר,"a court or abode",,ఒక కోర్టు లేదా నివాసం,Hebrew,Old Testament
H2682,חָצִיר,"grass",,గడ్డి,Hebrew,Old Testament
H2683,חֵצֶן,"the bosom (as comprised between the arms)",,చేతుల మధ్య ఉన్న రొమ్ము,Hebrew,Old Testament
H2684,חוֹצֶן,"arm",,చేయి,Hebrew,Old Testament
H2685,חֲצַף,"chatsaph (khats-af') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2686,חָצַץ,"chatsats (khaw-tsats') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2687,חָצָץ,"(properly) something cutting",,అర్థం తెలియదు,Hebrew,Old Testament
H2688,חַצּוֹן תָּמָר חַצֲצוֹן תָּמָר,"Chatstsown Tamar (khats-ets-one' taw-mawr') (or Chatsatson Tamar khats-ats-one' taw-mawr') n/l.",,కుమారుడు,Hebrew,Old Testament
H2689,חֲצוֹצְרָה,"a trumpet (from its sundered or quavering note)",,సూర్యుడు,Hebrew,Old Testament
H2690,חָצַר חֲצוֹצֵר חֲצוֹרֵר,"chatsar (khaw-tsar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2691,חָצֵר,"a yard (as inclosed by a fence)",,ఆవరణము,Hebrew,Old Testament
H2692,חֲצַר אַדָּר,"Chatsar Addar (khats-ar' addawr') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2693,חֲצַר גַּדָּה,"Chatsar Gaddah (khats-ar'gad-daw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H2694,חֲצַר הַתּתִּיכּוֹן,"Chatsar hat-Tiykown (khats-ar' hat-tee-kone') n/l.",,ఒకటి,Hebrew,Old Testament
H2695,חֶצרוֹ,"Chetsrow (khets-ro') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2696,חֶצרוֹן,"Chetsrown (khets-rone') n/l.",,ఒకటి,Hebrew,Old Testament
H2697,חֶצרוֹנִי,"a Chetsronite or (collectively) descendants of Chetsron",,అంతం,Hebrew,Old Testament
H2698,חֲצֵרוֹת,"Chatserowth (khats-ay-roth') n/l.",,హజేరోతు,Hebrew,Old Testament
H2699,חֲצֵרִים,"Chatseriym (khats-ay-reem') n/l.",,హజేరీయులు,Hebrew,Old Testament
H2700,חֲצַרמָוֶת,"Chatsarmaveth (khats-ar-maw'-veth) n/p.",,హసర్మావేతు,Hebrew,Old Testament
H2701,חֲצַר סוּסָה,"Chatsar Cuwcah (khats-ar'soo-saw') n/l.",,హజర్‌ సూసా,Hebrew,Old Testament
H2702,חֲצַר סוּסִים,"Chatsar Cuwciym (khats-ar' soo-seem') n/l.",,హజర్‌ సూసీము,Hebrew,Old Testament
H2703,חֲצַר עֵינוֹן,"Chatsar `Eynown (khats-ar' ay-none') n/l.",,ఒకటి,Hebrew,Old Testament
H2704,חֲצַר עֵינָן,"Chatsar `Eynan (khats-ar' ay-nawn') n/l.",,హజర్‌ ఏనోను,Hebrew,Old Testament
H2705,חֲצַר שׁוּעָל,"Chatsar Shuw`al (khats-ar' shoo-awl') n/l.",,హజర్‌ షూలు,Hebrew,Old Testament
H2706,חוֹק,"an enactment",,శాసనం,Hebrew,Old Testament
H2707,חָקָה,"chaqah (khaw-kaw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2708,חוּקָּה,"appointed",,నియమించబడిన,Hebrew,Old Testament
H2709,חֲקוּפָא,"Chaquwpha' (khah-oo-faw') n/p.",,హకూఫా,Hebrew,Old Testament
H2710,חָקַק,"chaqaq (khaw-kak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2711,חֵקֶק,"an enactment",,శాసనం,Hebrew,Old Testament
H2712,חוּקּוֹק חוּקוֹק,"Chuqqog (Khook-koke') (or (fully) Chuwqoq khoo-koke') n/l.",,హుక్కోకు,Hebrew,Old Testament
H2713,חָקַר,"chaqar (khaw-kar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2714,חֵקֶר,"examination",,జాతి,Hebrew,Old Testament
H2715,חוֹר חוֹר,"(properly) white or pure (from the cleansing or shining power of fire",,అగ్ని,Hebrew,Old Testament
H2716,חֶרֶא חֲרִי,"excrement",,పెంట,Hebrew,Old Testament
H2717,חָרַב חָרֵב,"charab (khaw-rab') (or chareb khaw-rabe') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2718,חֲרַב,"charab (khar-ab') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2719,חֶרֶב,"drought",ఖెరెబ్,ఖడ్గం,Hebrew,Old Testament
H2720,חָרֵב,"chareb (khaw-rabe') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H2721,חוֹרֶב,"drought or desolation",,కరువు లేదా నిర్మానుష్యం,Hebrew,Old Testament
H2722,חוֹרֵב,"Choreb (kho-rabe') n/l.",,హోరేబు,Hebrew,Old Testament
H2723,חָרבָּה,"(properly) drought",,ముఖ్యంగా కరువు,Hebrew,Old Testament
H2724,חָרָבָה,"a desert",,ఎడారి,Hebrew,Old Testament
H2725,חֲרָבוֹן,"parching heat",,వడదెబ్బ,Hebrew,Old Testament
H2726,חַרבּוֹנָא חַרבּוֹנָה,"Charbowna' (khar-bo-naw') (or Charbownah khar-bo-naw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H2727,חָרַג,"charag (khaw-rag') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H2728,חָרגּוֹל,"the leaping insect",,ఎగిరే కీటకం,Hebrew,Old Testament
H2729,חָרַד,"charad (khaw-rad') v.",,అర్థం తెలియదు,Hebrew,Old Testament
