Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"עָצַר","atsar","עָצַר","ఆటంకపరచుట","to restrain or prevent","Verb","H6113"
"יָלַד","yalad","יָלַד","కనుట","to bear or give birth","Verb","H3205"
"קָלַל","qalal","קָלַל","తృణీకరించుట లేదా అల్పురాలుగా ఉండుట","to be despised or light","Verb","H7043"
"עָנָה","anah","עָנָה","శ్రమపెట్టుట","to afflict or humble","Verb","H6031"
"בָּרַח","barach","בָּרַח","పారిపోవుట","to flee","Verb","H1272"
"מַלְאָךְ","mal'ak","לאך","దూత","angel or messenger","Noun","H4397"
"עַיִן","ayin","עַיִן","బుగ్గ లేదా కన్ను","spring or eye","Noun","H5869"
"מִדְבָּר","midbar","דָּבַר","అరణ్యము","wilderness or desert","Noun","H4057"
"הָרָה","harah","הָרָה","గర్భవతి","pregnant","Adjective","H2030"
"יִשְׁמָעֵאל","Yishma'el","שָׁמַע","ఇష్మాయేలు","Ishmael (God hears)","Proper Noun","H3458"
"שָׁמַע","shama","שָׁמַע","వినుట","to hear","Verb","H8085"
"רֳאִי","ro'iy","רָאָה","చూచువాడు","sight or one who sees","Noun","H7210"
"עֳנִי","oniy","עָנָה","బాధ లేదా శ్రమ","affliction or misery","Noun","H6040"
"בְּאֵר","be'er","בָּאַר","బావి","well","Noun","H875"
"אֵל שַׁדַּי","El Shaddai","אל / שדד","సర్వశక్తిమంతుడైన దేవుడు","God Almighty","Proper Noun","H410/H7706"
"בְּרִית","Berit","ברה","నిబంధన","Covenant","Noun","H1285"
"תָּמִים","Tamim","תמם","నిందారహితుడు","Blameless","Adjective","H8549"
"הִתְהַלֵּךְ","Hithallek","הלך","నడుచుట","To walk (habitually)","Verb","H1980"
"הָמוֹן","Hamon","המה","సమూహం","Multitude","Noun","H1995"
"עוֹלָם","Olam","עלם","నిత్యమైన","Everlasting","Noun","H5769"
"אֲחֻזָּה","Achuzzah","אחז","స్వాస్థ్యము","Possession","Noun","H272"
"מוּל","Mul","מול","సున్నతి చేయుట","To circumcise","Verb","H4135"
"אוֹת","Ot","אות","సూచన","Sign","Noun","H226"
"בָּשָׂר","Basar","בשר","శరీరము","Flesh","Noun","H1320"
"גּוֹיִם","Goyim","גוי","జనములు","Nations","Noun","H1471"
"פָּרָה","Parah","פרה","ఫలించు","To be fruitful","Verb","H6509"
"צָחַק","Tsachaq","צחק","నవ్వుట","To laugh","Verb","H6711"
"יִצְחָק","Yitzchaq","צחק","ఇస్సాకు","Isaac","Proper Noun","H3327"
"מְגוּרִים","Megurim","גור","పరవాసము","Sojournings","Noun","H4033"
"וַיֵּרָא","way-yē-rā","רָאָה","కనిపించెను","and he appeared","Verb","H7200"
"יְהוָה","Yah-weh","הָיָה","యెహోవా","The LORD","Proper Noun","H3068"
"אֵלֹנֵי","ê-lō-nê","אַלּוֹן","సింధూర వృక్షములు","oaks of (terebinths)","Noun","H437"
"אֲנָשִׁים","’ă-nā-šîm","אֱנוֹשׁ","మనుష్యులు","men","Noun","H582"
"חֵן","ḥên","חָנַן","కటాక్షము/కృప","grace/favor","Noun","H2580"
"מַיִם","ma-yim","מַיִם","నీళ్లు","water","Noun","H4325"
"לֶחֶם","le-ḥem","לָחַם","ఆహారము/రొట్టె","bread/food","Noun","H3899"
"יִפָּלֵא","yip-pā-lê","פָּלָא","అసాధ్యమైనది/ఆశ్చర్యకరమైనది","be wonderful/too hard","Verb","H6381"
"עֵת","‘êṯ","עֵת","సమయము","time/season","Noun","H6256"
"צַדִּיק","ṣad-dîq","צָדַק","నీతిమంతుడు","righteous","Adjective","H6662"
"רָשָׁע","rā-šā‘","רָשַׁע","దుష్టుడు","wicked","Adjective/Noun","H7563"
"עָפָר","‘ā-p̄ār","עָפָר","ధూళి","dust","Noun","H6083"
"אֵפֶר","’ê-p̄er","אֵפֶר","బూడిద","ashes","Noun","H665"
"מִשְׁפָּט","miš-pāṭ","שָׁפַט","న్యాయము","justice/judgment","Noun","H4941"
"צְדָקָה","ṣə-ḏā-qāh","צָדַק","నీతి","righteousness","Noun","H6666"
"מַלְאָכִים","mal’āḵîm","מַלְאָךְ","దూతలు","angels","Noun","H4397"
"סְדֹם","seḏōm","סְדֹם","సొదొమ","Sodom","Proper Noun","H5467"
"לוֹט","lôṭ","לוֹט","లోతు","Lot","Proper Noun","H3876"
"עֶרֶב","‘ereḇ","עָרַב","సాయంత్రం","evening","Noun","H6153"
"שַׁעַר","ša‘ar","שָׁעַר","గవిని","gate","Noun","H8179"
"בַּיִת","ḇayiṯ","בַּיִת","ఇల్లు","house","Noun","H1004"
"מַצּוֹת","maṣṣôṯ","מָצַץ","పొంగని రొట్టెలు","unleavened bread","Noun","H4682"
"לַיְלָה","laylâ","לַיִל","రాత్రి","night","Noun","H3915"
"שָׁחַת","šāḥaṯ","שָׁחַת","నాశనం చేయు","to destroy","Verb","H7843"
"אֵשׁ","’ēš","אֵשׁ","అగ్ని","fire","Noun","H784"
"גָּפְרִית","go_p̄rîṯ","גָּפְרִית","గంధకము","brimstone","Noun","H1614"
"נְצִיב","neṣîḇ","נָצַב","స్తంభము","pillar","Noun","H5333"
"מֶלַח","melaḥ","מָלַח","ఉప్పు","salt","Noun","H4417"
"מְעָרָה","me‘ārâ","עוּר","గుహ","cave","Noun","H4631"
"יַיִן","yayin","יָיִן","ద్రాక్షారసము","wine","Noun","H3196"
"הָפַךְ","hāp̄aḵ","הָפַךְ","తలక్రిందులు చేయు","to overthrow/overturn","Verb","H2015"
"נָסַע","nasa‘","נָסַע","ప్రయాణమగు","to journey, set out, depart","Verb","H5265"
"גְּרָר","Gerar","גְּרָר","గెరారు","Gerar (a Philistine city)","Proper Noun","H1642"
"אָחוֹת","achot","אָח","సోదరి","sister","Noun","H269"
"חֲלוֹם","chalom","חָלַם","కల","dream","Noun","H2472"
"בַּעַל","ba‘al","בָּעַל","భర్త, యజమాని","husband, owner, lord","Noun","H1167"
"צַדִּיק","tsaddiq","צָדַק","నీతిమంతుడు","righteous, just","Adjective","H6662"
"תֹּם","tom","תָּמַם","యథార్థత, నిష్కపటము","integrity, completeness, innocence","Noun","H8537"
"נִקְיֹון","niqqayon","נָקָה","నిర్మలము, నిష్కల్మషము","innocence, cleanness","Noun","H5356"
"חָשַׂךְ","chasak","חָשַׂךְ","ఆటంకపరచు, వెనుకకు తీయు","to withhold, restrain, keep back","Verb","H2820"
"נָבִיא","navi","נָבָא","ప్రవక్త","prophet","Noun","H5030"
"פָּלַל","palal","פָּלַל","ప్రార్థించు, విన్నవించు","to pray, intercede","Verb","H6419"
"יִרְאָה","yirah","יָרֵא","భయము, భక్తి","fear, reverence","Noun","H3374"
"חֶסֶד","chesed","חֶסֶד","కృప, ఉపకారము","kindness, mercy, steadfast love","Noun","H2617"
"כֶּסֶף","kesef","כָּסַף","వెండి, ద్రవ్యము","silver, money","Noun","H3701"
"רָפָא","rapha","רָפָא","స్వస్థపరచు","to heal","Verb","H7495"
"עָצַר","atsar","עָצַר","బంధించు, మూసివేయు","to restrain, close up, shut up","Verb","H6113"
"פָּקַד","paqad","פקד","దర్శించుట / జ్ఞాపకము చేసికొనుట","visited / attended to","Verb","H6485"
"יִצְחָק","Yits-khaq","צחק","ఇస్సాకు","Isaac (meaning 'he laughs')","Proper Noun","H3327"
"זִקְנָה","ziqnah","זקన్","ముసలితనము","old age","Noun","H2209"
"צָחַק","tsachaq","צחק","నవ్వుట / సరసాలాడట","to laugh / mock","Verb","H6711"
"גָּמַל","gamal","גמל","పాలు విడచుట","to wean","Verb","H1580"
"גָּרֵשׁ","garash","גרש","వెళ్లగొట్టుట","to drive out / cast out","Verb","H1644"
"אָמָה","amah","אם","దాసి","bondwoman / maidservant","Noun","H519"
"חֵמֶת","chemet","חמת","నీళ్ల తిత్తి","waterskin / bottle","Noun","H2573"
"מִדְבָּר","midbar","דבר","అరణ్యము","wilderness / desert","Noun","H4057"
"תָּעָה","ta'ah","תעה","తొలగిపోవుట / తిరుగులాడుట","to wander / err","Verb","H8582"
"בְּאֵר","be'er","באר","బావి","well","Noun","H875"
"בְּרִית","berit","ברה","నిబంధన","covenant","Noun","H1285"
"אֶשֶׁל","eshel","אשל","తమరిస్కు చెట్టు","tamarisk tree","Noun","H815"
"עוֹלָם","olam","עלם","నిత్యుడైన","everlasting / eternal","Noun/Adjective","H5769"
"יֶלֶד","yeled","ילد","పిల్లవాడు","child / boy","Noun","H3206"
"אֱלֹהִים","'Elohim","אֱלֹהִים","దేవుడు","God","Noun","H430"
"נִסָּה","nissah","נסה","పరీక్షించు","To test/prove","Verb","H5254"
"עֹלָה","'olah","עלה","దహనబలి","Burnt offering","Noun","H5930"
"הִנֵּנִי","hinneni","הנה","చిత్తం, నేను ఇక్కడ ఉన్నాను","Here I am","Interjection","H2005"
"יָחִיד","yachid","יחד","అద్వితీయమైన","Only, unique, beloved","Adjective","H3173"
"אָהַב","ahab","אהב","ప్రేమించు","To love","Verb","H157"
"מָקוֹם","maqom","קום","స్థలము","Place","Noun","H4725"
"עֵץ","'ets","עץ","కట్టెలు","Wood, tree","Noun","H6086"
"מַאֲכֶלֶת","ma'akelet","אכל","కత్తి","Knife","Noun","H3979"
"שֶׂה","seh","שׂה","గొర్రెపిల్ల","Lamb, sheep","Noun","H7716"
"יָרֵא","yare","ירא","భయపడు","To fear, revere","Verb","H3372"
"אַיִל","ayil","איל","పొట్టేలు","Ram","Noun","H352"
"בָּרַךְ","barach","ברך","ఆశీర్వదించు","To bless","Verb","H1288"
"זֶרַע","zera","זרע","సంతానము","Seed, offspring","Noun","H2233"
"שָׁמַע","shama","שׁמע","వినుట","To hear, obey","Verb","H8085"
"שָׂרָה","Sarah","שָׂרָה","శారా","Sarah","Proper Noun","H8283"
"חַיֵּי","chayyei","חָיָה","జీవిత కాలము","life/lifetime","Noun","H2416"
"שָׁנָה","shanah","שָׁנָה","సంవత్సరం","year","Noun","H8141"
"מֵאָה","me'ah","מֵאָה","వంద","hundred","Noun","H3967"
"מוּת","mut","מוּת","చనిపోవుట","to die","Verb","H4191"
"סָפַד","saphad","סָפַד","ప్రలాపించు/దుఃఖించు","to mourn/lament","Verb","H5594"
"בָּכָה","bakah","בָּכָה","ఏడ్చుట","to weep","Verb","H1058"
"גֵּר","ger","גּוּר","పరదేశి","sojourner/stranger","Noun","H1616"
"תּוֹשָׁב","toshav","יָשַׁב","పరవాసి/నివాసి","settler/resident","Noun","H8453"
"אֲחֻזָּה","achuzzah","אָחַז","స్వాస్థ్యము/ఆస్తి","possession/property","Noun","H272"
"קֶבֶר","qever","קָבַר","సమాధి","grave/sepulcher","Noun","H6913"
"בְּנֵי-חֵת","bne-cheth","חֵת","హేతు కుమారులు","sons of Heth (Hittites)","Noun","H2845"
"נָשִׂיא","nasi","נָשָׂא","అధిపతి/ప్రభువు","prince/leader","Noun","H5387"
"אֱלֹהִים","elohim","אֱלֹהִים","దేవుడు","God","Noun","H430"
"מְעָרָה","me'arah","מְעָרָה","గుహ","cave","Noun","H4631"
"שָׂדֶה","sadeh","שָׂדֶה","పొలము","field","Noun","H7704"
"כֶּסֶף","kesep","כָּסַף","వెండి/డబ్బు","silver/money","Noun","H3701"
"שֶׁקֶל","sheqel","שָׁקַל","తులము/షెకెలు","shekel (weight/unit of currency)","Noun","H8255"
"עָבַר","avar","עָבַר","దాటుట/చలామణి అగుట","to pass through/be current","Verb","H5674"
"קָבַר","qavar","קָבַר","పాతిపెట్టుట/సమాధి చేయుట","to bury","Verb","H6912"
"זָקֵן","zaqen","זָקֵן","వృద్ధుడు / పెద్దవాడు","old, elder","Adjective/Noun","H2205"
"בָּרַךְ","barak","בָּרַךְ","ఆశీర్వదించుట","to bless","Verb","H1288"
"עֶבֶד","'eved","עָבַד","దాసుడు","servant","Noun","H5650"
"שָׁבַع","shava'","שָׁבַע","ప్రమాణం చేయుట","to swear","Verb","H7650"
"יָרֵךְ","yarek","יָרֵךְ","తొడ","thigh","Noun","H3409"
"מַלְאָךְ","mal'ak","לאך","దూత","messenger, angel","Noun","H4397"
"גָּమָל","gamal","גָּמַל","ఒంటె","camel","Noun","H1581"
"בְּאֵר","be'er","בָּאַר","బావి","well","Noun","H875"
"מַיִם","mayim","מַיִם","నీళ్లు","waters","Noun","H4325"
"חֶסֶד","chesed","חָסַד","కృప / దయ","lovingkindness, mercy","Noun","H2617"
"אֱמֶת","'emet","אָמַן","సత్యము / నమ్మకత్వము","truth, faithfulness","Noun","H571"
"נֶזֶם","nezem","נָזַם","ముక్కు కమ్మ / ఉంగరం","ring, earring","Noun","H5141"
"צָמִיడ్","tsamid","צָמַడ్","కంకణము","bracelet","Noun","H6781"
"מִשְׁפָּחָה","mishpachah","שָׁఫַח","కుటుంబము","family, clan","Noun","H4940"
"אָדוֹן","'adon","אָדַన్","యజమానుడు","lord, master","Noun","H113"
"בַּత","bat","בָּנָה","కుమార్తె","daughter","Noun","H1323"
"הָלַךְ","halak","הָלַךְ","వెళ్లుట","to go, walk","Verb","H1980"
"נַעֲרָה","na'arah","נַעַר","యౌవనస్థురాలు","young woman, girl","Noun","H5291"
"אִשָּׁה","'ishshah","אֱנוֹשׁ","స్త్రీ / భార్య","woman, wife","Noun","H802"
"דֶּرֶךְ","derek","דָּרַךְ","మార్గము","way, road, journey","Noun","H1870"
"אַבְרָהָם","Avraham","אַבְרָהָם","అబ్రాహాము","Abraham","Proper Noun","H85"
"קְטוּרָה","Keturah","קְטוּרָה","కెతూరా","Keturah","Proper Noun","H6989"
"מַתָּנֹת","mattanot","מַתָּנָה","బహుమానములు","gifts","Noun","H4979"
"שָׁנָה","shanah","שׁנה","సంవత్సరము","year","Noun","H8141"
"שֵׂיבָה","sevah","שׂיב","ముసలితనము / పండువయస్సు","old age / hoary head","Noun","H7872"
"קָבַר","qabar","קבר","పాతిపెట్టుట / సమాధి చేయుట","to bury","Verb","H6912"
"מְעָרָה","mearah","מער","గుహ","cave","Noun","H4631"
"תּוֹלְדֹת","toledot","ילד","వంశావళి / చరిత్ర","generations / account","Noun","H8435"
"עָתַר","atar","עתר","ప్రార్థించుట / బ్రతిమాలుకొనుట","to pray / entreat","Verb","H6279"
"עֲקָרָה","aqarah","עקר","గొడ్రాలు","barren","Adjective","H6135"
"בֶּטֶן","beten","בטן","గర్భము / కడుపు","womb / belly","Noun","H990"
"גּוֹיִם","goyim","גּוֹי","జనములు","nations","Noun","H1471"
"תּוֹמִם","tomim","תאם","కవలలు","twins","Noun","H8490"
"אַדְמוֹנִי","admoni","אדם","ఎర్రని","red / ruddy","Adjective","H132"
"עָקֵב","aqev","עקב","మడమ","heel","Noun","H6119"
"צַיִד","tsayid","צוד","వేట / వేటగాడు","hunting / game","Noun","H6718"
"אֹהֶל","ohel","אהל","గుడారము","tent","Noun","H168"
"נָזִיד","nazid","זיד","వంటకము","stew / pottage","Noun","H5138"
"בְּכֹרָה","bekhorah","בכר","జ్యేష్ఠత్వము","birthright","Noun","H1062"
"בָּזָה","bazah","בזה","తృణీకరించుట / నిర్లక్ష్యపెట్టుట","to despise","Verb","H959"
"רָעָב","ra'av","רָעֵב","కరువు","famine","Noun","H7458"
"גּוּר","gur","גּוּר","నివసించు (పరదేశిగా)","to sojourn","Verb","H1481"
"זֶרַע","zera","זָרַע","సంతానము","seed/offspring","Noun","H2233"
"בָּרַךְ","barak","בָּרַךְ","ఆశీర్వదించు","to bless","Verb","H1288"
"שָׁמַר","shamar","שָׁמַר","గైకొను/కాపాడు","to keep/guard","Verb","H8104"
"חָפַר","chaphar","חָפַר","త్రవ్వు","to dig","Verb","H2658"
"בְּאֵר","be'er","בָּאַר","బావి","well","Noun","H875"
"מַיִם","mayim","מַיִם","నీళ్లు","waters","Noun","H4325"
"עֵשֶׂק","esek","עָשַׂק","కలహము","contention","Noun/Proper Name","H6230"
"שִׂטְנָה","sitnah","שָׂטַן","విరోధము","enmity/hatred","Noun/Proper Name","H7856"
"רְחֹבוֹת","rechovoth","רָחַב","విశాలత/విశాల స్థలములు","broad places/room","Proper Name","H7344"
"פָּרָה","parah","פָּרָה","అభివృద్ధి పొందుట","to be fruitful","Verb","H6509"
"שְׁבוּעָה","shevu'ah","שָׁבַע","ప్రమాణము","oath","Noun","H7621"
"בְּרִית","berit","בָּרָה","నిబంధన","covenant","Noun","H1285"
"מִשְׁתֶּה","mishteh","שָׁתָה","విందు","feast","Noun","H4960"
"פְּלִשְׁתִּים","pelishtim","פְּלֶשֶׁת","ఫిలిష్తీయులు","Philistines","Proper Noun","H6430"
"זָקֵן","zaqen","זָקֵן","వృద్ధాప్యం","old","Adjective","H2205"
"כָּהָה","kahah","כָּהָה","మసకబారడం","to grow dim","Verb","H3543"
"בֵּן","ben","בֵּן","కుమారుడు","son","Noun","H1121"
"בָּרַךְ","barak","בָּרַךְ","ఆశీర్వదించు","to bless","Verb","H1288"
"צַיִד","tsayid","צוּד","వేట","hunting, game, venison","Noun","H6718"
"מַטְעַמִּים","mat'ammim","טָעַם","రుచికరమైన భోజనం","savory food, delicacies","Noun","H4303"
"בְּרָכָה","berakah","בָּרַךְ","ఆశీర్వాదం","blessing","Noun","H1293"
"נֶפֶשׁ","nephesh","נָפַשׁ","ప్రాణం","soul, life, self","Noun","H5315"
"שָׁמַע","shama","שָׁמַע","వినుట","to hear, listen, obey","Verb","H8085"
"קְלָלָה","qelalah","קָלַל","శాపం","curse","Noun","H7045"
"בֶּגֶד","beged","בָּגַד","వస్త్రం","garment, clothing","Noun","H899"
"קוֹל","qol","קוֹל","స్వరం","voice, sound","Noun","H6963"
"יָד","yad","יָד","చేయి","hand","Noun","H3027"
"מִרְמָה","mirmah","רָמָה","మోసం","deceit, treachery","Noun","H4820"
"בְּכֹרָה","bechorah","בָּכַר","జ్యేష్ఠత్వము","birthright","Noun","H1062"
"טַל","tal","טָלַל","మంచు","dew","Noun","H2919"
"דָּגָן","dagan","דָּגָן","ధాన్యం","grain, corn","Noun","H1715"
"תִּירֹשׁ","tirosh","יָרַשׁ","కొత్త ద్రాక్షారసం","new wine","Noun","H8492"
"שָׂנָא","sana","שָׂנָא","ద్వేషించు","to hate","Verb","H8130"
"נָחַם","nacham","נָחַם","ఓదార్చు","to comfort, console oneself","Verb","H5162"
"יַעֲקֹב","Ya'aqov","עקב","యాకోబు","Jacob","Proper Noun","H3290"
"בָּרַךְ","Barakh","ברך","ఆశీర్వదించు","To bless","Verb","H1288"
"צָוָה","Tsavah","צוה","ఆజ్ఞాపించు","To command","Verb","H6680"
"אֵל שַׁדַּי","El Shaddai","שדד","సర్వశక్తిగల దేవుడు","God Almighty","Proper Noun","H410/H7706"
"פָּרָה","Parah","פרה","ఫలించుట","To be fruitful","Verb","H6509"
"רָבָה","Rabah","רבה","విస్తరించుట","To multiply","Verb","H7235"
"קָהָל","Qahal","קהל","సమాజము","Assembly / Congregation","Noun","H6951"
"מוֹרָשָׁה","Morashah","ירש","స్వాస్థ్యము","Possession / Inheritance","Noun","H4181"
"חֲלוֹם","Chalom","חלם","కల","Dream","Noun","H2472"
"סֻלָּם","Sullam","סלל","నిచ్చెన","Ladder / Stairway","Noun","H5551"
"מַלְאָךְ","Mal'akh","לאך","దూత","Messenger / Angel","Noun","H4397"
"נָצַב","Natsav","נצב","నిలబడుట","To stand / To be stationed","Verb","H5324"
"זֶרַע","Zera","זרע","సంతానము / విత్తనము","Seed / Offspring","Noun","H2233"
"אֲדָמָה","Adamah","אדם","నేల / భూమి","Ground / Earth","Noun","H127"
"שָׁמַר","Shamar","שמר","కాపాడుట / భద్రపరచుట","To keep / To watch over","Verb","H8104"
"נוֹרָא","Nora","ירא","భయంకరమైన / ఆశ్చర్యకరమైన","Awesome / Fearful","Adjective","H3372"
"שַׁעַר","Sha'ar","שער","గవిని / ద్వారము","Gate","Noun","H8179"
"מַצֵּבָה","Matstsevah","נצב","ప్రతిష్ఠిత స్తంభము","Pillar / Monument","Noun","H4676"
"שֶׁמֶן","Shemen","שמן","నూనె","Oil","Noun","H8081"
"בֵּית־אֵל","Bet-El","בית/אל","బేతేలు (దేవుని మందిరము)","Bethel (House of God)","Proper Noun","H1008"
"נֶדֶר","Neder","נדר","మొక్కుబడి","Vow","Noun","H5088"
"לֶחֶם","Lechem","לחם","ఆహారము / రొట్టె","Bread / Food","Noun","H3899"
"בֶּגֶד","Beged","בגד","వస్త్రము","Garment / Clothing","Noun","H899"
"עָשַׂר","Asar","עשר","పదియవ వంతు ఇచ్చుట","To give a tithe","Verb","H6237"
"נָשָׂא","nasa","נשא","ఎత్తుట/ప్రయాణించుట","to lift up/set out","Verb","H5375"
"רֶגֶל","regel","רגל","కాలు","foot","Noun","H7272"
"בְּאֵר","be'er","באר","బావి","well","Noun","H875"
"אֶבֶן","even","אבן","రాయి","stone","Noun","H68"
"צֹאן","tson","צאן","మంద/గొర్రెలు","flock/sheep","Noun","H6629"
"שָׁקָה","shaqah","שקה","నీళ్ళు ఇచ్చుట","to water/give drink","Verb","H8248"
"נָשַׁק","nashaq","נשק","ముద్దు పెట్టుకొనుట","to kiss","Verb","H5401"
"בָּכָה","bachah","בכה","ఏడ్చుట","to weep","Verb","H1058"
"בַּת","bat","בת","కుమార్తె","daughter","Noun","H1323"
"עָבַד","avad","עבד","సేవించుట/పనిచేయుట","to serve/work","Verb","H5647"
"שָׁנָה","shanah","שׁנה","సంవత్సరము","year","Noun","H8141"
"אָהַב","ahav","אהב","ప్రేమించుట","to love","Verb","H157"
"רִמָּה","rimmah","רמה","మోసగించుట","to deceive/beguile","Verb","H7411"
"שָׁבוּעַ","shavu'a","שבע","వారము/ఏడు రోజుల కాలము","week/period of seven","Noun","H7620"
"שָׂנָא","sana","שנא","ద్వేషించుట","to hate","Verb","H8130"
"הָרָה","harah","הרה","గర్భము ధరించుట","to conceive/be pregnant","Verb","H2029"
"יָלַד","yalad","ילד","కనుట/జన్మనిచ్చుట","to bear/give birth","Verb","H3205"
"רָחֵל","Rachel","רחל","రాహేలు","Rachel (meaning 'Ewe')","Proper Noun","H7354"
"יָלַד","yalad","ילד","ప్రసవించు / కను","to bear, give birth, beget","Verb","H3205"
"קָנָא","qana","קנא","అసూయపడు","to be jealous, envious","Verb","H7065"
"בָּנִים","banim","בן","కుమారులు / పిల్లలు","sons, children","Noun","H1121"
"הָרָה","harah","הרה","గర్భవతి అగుట","to conceive, become pregnant","Verb","H2029"
"שִׁפְחָה","shiphchah","שפח","పనికత్తె / దాసి","maidservant, handmaid","Noun","H8198"
"דּוּדָאִים","duda'im","דוד","దూదాయిలు (మందార పండ్లు)","mandrakes","Noun","H1736"
"שָׂכָר","sakar","שכר","జీతము / ప్రతిఫలము","wages, reward, hire","Noun","H7939"
"צֹאן","tson","צאן","మంద (గొర్రెలు మరియు మేకలు)","flock, sheep and goats","Noun","H6629"
"נָקֹד","naqod","נקד","చుక్కలుగల","speckled","Adjective","H5348"
"טָלוּא","talu","טלא","మచ్చలుగల","spotted, patched","Adjective","H2921"
"מַקֵּל","maqqel","מקל","కర్ర / దెబ్బ","rod, staff, stick","Noun","H4731"
"לָבָן","lavan","לבן","తెల్లని","white","Adjective","H3836"
"בָּרַךְ","barak","ברך","ఆశీర్వదించు","to bless","Verb","H1288"
"רֶחֶם","rechem","רחם","గర్భము","womb","Noun","H7358"
"בָּנִים","banim","ben","కుమారులు","sons","Noun","H1121"
"כָּבֹד","kabod","kabad","ఘనత/సంపద","wealth/glory","Noun","H3519"
"פָּנִים","panim","panah","ముఖము","face/countenance","Noun","H6440"
"שׁוּב","shub","shub","తిరిగి వెళ్ళు","to return","Verb","H7725"
"מוֹלֶדֶת","moledet","yalad","బంధువులు/జన్మభూమి","kindred/birthplace","Noun","H4138"
"צֹאן","tson","tson","మంద","flock/sheep/goats","Noun","H6629"
"הֵתֶל","hetel","talal","మోసగించెను","deceived/mocked","Verb","H2048"
"מַשְׂכֹּרֶת","maskoret","sakar","జీతము","wages/reward","Noun","H4909"
"מַצֵּבָה","matstsebah","natsab","స్తంభము/విగ్రహం","pillar/monument","Noun","H4676"
"מָשַׁח","mashach","mashach","అభిషేకించు","to anoint","Verb","H4886"
"נֶדֶר","neder","nadar","మ్రొక్కుబడి","vow","Noun","H5088"
"גָּנַב","ganab","ganab","దొంగిలించు","to steal","Verb","H1589"
"תְּרָפִים","teraphim","teraphim","గృహ దేవతలు/తెరాఫీము","household idols/teraphim","Noun","H8655"
"חֲלוֹם","chalom","chalam","స్వప్నము/కల","dream","Noun","H2472"
"בְּרִית","berit","barah","నిబంధన","covenant","Noun","H1285"
"גַּל","gal","galal","కుప్ప/రాశి","heap/mound","Noun","H1530"
"עֵד","ed","ud","సాక్షి","witness","Noun","H5707"
"מִצְפָּה","mitspah","tsaphah","మిస్పా/కావలి కోట","watchtower","Noun/Proper Name","H4709"
"אֶבֶן","eben","eben","రాయి","stone","Noun","H68"
"זָבַח","zabach","zabach","బలి అర్పించు","to sacrifice/slaughter","Verb","H2076"
"מַלְאָךְ","mal'akh","לאך","దూత","messenger, angel","Noun","H4397"
"מַחֲנֶה","machaneh","חנה","పాళెము","camp, host, company","Noun","H4264"
"שָׁלַח","shalach","שלח","పంపుట","to send","Verb","H7971"
"אָח","ach","אחח","సహోదరుడు","brother","Noun","H251"
"יָרֵא","yare","ירא","భయపడుట","to fear, be afraid","Verb","H3372"
"צָרַר","tsarar","צרר","వేదనపడుట","to be distressed, cramped","Verb","H6887"
"קָטֹן","katon","קטן","అనర్హుడు","to be small, unworthy","Verb","H6994"
"חֶסֶד","chesed","חסد","కృప","mercy, loving-kindness","Noun","H2617"
"אֱמֶת","emet","אמן","సత్యము","truth, faithfulness","Noun","H571"
"נָצַל","natsal","נצל","విడిపించుట","to deliver, rescue","Verb","H5337"
"מִנְחָה","minchah","מנח","కానుక","gift, offering","Noun","H4503"
"אָבַק","avaq","אבק","కుస్తీ పట్టుట","to wrestle","Verb","H79"
"שָׂרָה","sarah","שרה","పోరాడుట","to strive, contend, have power","Verb","H8280"
"יִשְׂרָאֵל","yisra'el","שרה/אל","ఇశ్రాయేలు","Israel (Prince with God)","Proper Noun","H3478"
"פָּנִים","panim","פנה","ముఖము","face","Noun","H6440"
"בָּרַךְ","barakh","ברך","దీవించుట","to bless","Verb","H1288"
"זָרַח","zarach","זרח","ఉదయించుట","to rise, shine (of the sun)","Verb","H2224"
"צָלַע","tsala","צלע","కుంటుట","to limp, halt","Verb","H6760"
"נָשָׂא","nasa","נָשָׂא","ఎత్తుట (లేదా కన్నులెత్తుట)","to lift up (specifically eyes)","Verb","H5375"
"רָץ","rats","רוּץ","పరుగెత్తుట","to run","Verb","H7323"
"חָבַק","chabaq","חָבַק","కౌగిలించుకొనుట","to embrace","Verb","H2263"
"נָשַׁק","nashaq","נָשַׁק","ముద్దుపెట్టుకొనుట","to kiss","Verb","H5401"
"בָּכָה","bakah","בָּכָה","ఏడ్చుట","to weep","Verb","H1058"
"חָנַן","chanan","חָנַן","కృప చూపుట","to be gracious / graciously given","Verb","H2603"
"מַחֲנֶה","machaneh","חָנָה","దండు లేదా గుంపు","camp, company, or group","Noun","H4264"
"חֵן","chen","חָנַן","కటాక్షము లేదా దయ","favor, grace","Noun","H2580"
"מִנְחָה","minchah","מִנְחָה","కానుక","present, gift, or offering","Noun","H4503"
"פָּנִים","panim","פָּנָה","ముఖము","face / presence","Noun","H6440"
"בְּרָכָה","berakah","בָּרַךְ","ఆశీర్వాదము","blessing / gift","Noun","H1293"
"שָׁלֵם","shalem","שָׁלֵם","క్షేమముగా","safely, peacefully, or complete","Adjective / Adverb","H8003"
"קָנָה","qanah","קָנָה","కొనుట","to buy or acquire","Verb","H7069"
"חֶלְקָה","chelqah","חָלַק","భాగము లేదా పొలము","portion of ground or plot of land","Noun","H2513"
