strongs,word,occurrences,english_meaning,telugu_meaning
H7522,רָצוֹן רָצוֹן,56,"-ed), delight, desire, favour, (good) pleasure, (own, self, voluntary) will, as...(what) would.",
H635,אֶסתֵּר,55,the Jewish heroine,
H1612,גֶּפֶן,55,especially the grape,
H3373,יָרֵא,55,reverent,
H3837,לָבָן,55,also a place in the Desert,
H4060,מִדָּה,55,also a measure (including its standard); hence a portion (as measured) or a vestment,
H4392,מָלֵא,55,"fill(-ed, -ed with), full(-ly), multitude, as is worth.",
H5999,עָמָל,55,"(hence) worry, wheth. of body or mind",
H6817,צָּעַק,55,"call together, cry (out), gather (selves) (together).",
H7243,רְבִיעִי רֶבִעִי,55,fourth (part).,
H8127,שֵׁן,55,"X forefront, ivory, X sharp, tooth.",
H14,אָבָה,54,"rest content will, be willing.",అంగీకరించు - సమ్మతించు
H1254,בָּרָא,54,"select, feed (as formative processes)",సృష్టించు (శూన్యం నుండి)
H1581,גָּמָל,54,a camel,
H1692,דָּבַק,54,(figuratively) to catch by pursuit,
H1706,דְּבַשׁ,54,syrup,
H2001,הָמָן,54,a Persian vizier,
H3407,יְרִיעָה,54,a hanging (as tremulous),
H3707,כַּעַס,54,"rage, be indignant",
H4791,מָרוֹם,54,"dignity, haughty, height, (most, on) high (one, place), loftily, upward.",
H5766,עֶוֶל עָוֶל עַולָה עוֹלָה עוֹלָה,54,"perverseness, unjust(-ly), unrighteousness(-ly); wicked(-ness).",
H6172,עֶרוָה,54,"literally (especially the pudenda) or figuratively (disgrace, blemish)",
H7105,קָצִיר,54,"also a limb (of a tree, or simply foliage)",
H7442,רָנַן,54,i.e. to shout (usually for joy),
H7723,שָׁוא שַׁו,54,"figuratively idolatry (as false, subjective), uselessness (as deceptive, objective; also adverbially, in vain)",
H8040,שְׂמוֹאל שְׂמאוֹל,54,"hence (by orientation), the left hand",
H2319,חָדָשׁ,53,new thing.,
H2977,יוֹאשִׁיָה יוֹאשִׁיָהוּ,53,the name of two Israelites,
H4082,מְדִינָה,53,(by implication) a district (as ruled by a judge); (generally) a region,
H4682,מַצָּה,53,"cake), without leaven.",
H5560,סוֹלֶת,53,meal.,
H5945,עֶליוֹן,53,"as title, the Supreme",
H6659,צָּדוֹק,53,the name of eight or nine Israelites,
H1841,דָּנִיֵאל,52,"Daniye'l (daw-nee-yale') n/p. 1. Danijel, the Heb. prophet [(Aramaic) corresponding to H1840] KJV: Daniel.  Root(s): H1840",
H2763,חָרַם,52,to be blunt as to the nose,
H2865,חָתַת,52,"either (literally) by violence, or (figuratively) by confusion and fear",
H4058,מָדַד,52,"mete, stretch self.",
H4279,מָחָר,52,"usually (adverbially) tomorrow; indefinitely, hereafter",
H5080,נָדַח,52,"literally and figuratively (to expel, mislead, strike, inflict, etc.)",
H6887,צָּרַר,52,"literally or figuratively, transitive or intransitive (as follows)",
H314,אַחֲריוֹן אַחֲרוֹן,51,"to come, following, hind(-er, -ermost, -most), last, latter, rereward, ut(ter)most.",
H1234,בָּקַע,51,"break, rip or open",
H1945,הוֹי,51,"alas, ho, O, woe.",
H2008,הֵנָּה,51,"hither(-to), now, on this (that) side, + since, this (that) way, thitherward, + thus far, to...fro, + yet.",
H3077,יְהוֹיָדָע,51,the name of three Israelites,
H3119,יוֹמָם,51,"(by, in the) day(-time).",
H3332,יָצַק,51,to stiffen or grow hard,
H3526,כָּבַס,51,"by stamping with the feet), whether literal (including the fulling process) or figurative",
H5321,נַפתָּלִי,51,"a son of Jacob, with the tribe descended from him, and its territory",
H5703,עַד,51,"in the sense of advance or perpetuity (substantially as a noun, either with or without a preposition)",
H7114,קָצַר,51,קצר,
H7175,קֶרֶשׁ,51,board.,
H7225,רֵאשִׁיתּ,51,"in place, time, order or rank (specifically, a firstfruit)",ఆరంభము - మొదటిది
H8582,תָּעָה,51,also causative of both,
H8597,תִּפאָרָה תִּפאֶרֶת,51,literally or figuratively},
H1104,בָּלַע,50,(generally) to destroy,
H1330,בְּתוּלָה,50,virgin.,
H2372,חָזָה,50,"specifically, to have a vision of",
H2885,טַּבַּעַת,50,"(hence, generally) a ring of any kind",
H4148,מוּסָר,50,also restraint,
H4609,מַעֲלָה,50,"(figuratively, the act) a thought arising",
H5234,נָכַר,50,"hence (with recognition implied), to acknowledge, be acquainted with, care for, respect, revere, or (with suspicion implied), to disregard, ignore, be strange toward, reject, resign, dissimulate (as if ignorant or disowning)",
H5381,נָשַׂג,50,"be able, attain (unto), (be able to, can) get, lay at, put, reach, remove, wax rich, X surely, (over-)take (hold of, on, upon).",
H6555,פָּרַץ,50,"direct and indirect, literal and figurative)",
H6565,פָּרַר,50,"i.e. to violate, frustrate",
H7346,רְחַבעָם,50,an Israelite king,
H530,אֱמוּנָה,49,"-ly, -ness, (man)), set office, stability, steady, truly, truth, verily.",
H646,אֵפוֹד אֵפוֹד,49,a girdle; (specifically) the ephod or high-priest's shoulder-piece; (generally) an image,
H1347,גָּאוֹן,49,"excellency(-lent), majesty, pomp, pride, proud, swelling.",
H1698,דֶּבֶר,49,"pestilence, plague.",
H4026,מִגדָּל מִגדָּלָה,49,(figuratively) a (pyramidal) bed of flowers,
H4948,מִשׁקָל,49,weight (numerically estimated); (hence) weighing (the act),
H5062,נָגַף,49,"gore, defeat, stub (the toe), inflict (a disease)",
H5668,עָבוּר עָבוּר,49,"that, in order that",
H6343,פַּחַד,49,"fear, (thing) great (fear, -ly feared), terror.",
H6453,פֶּסַח,49,used only techically of the Jewish Passover (the festival or the victim),
H6738,צֵּל,49,whether literal or figurative,
H6960,קָוָה,49,(figuratively) to expect,
H8504,תְּכֵלֶת,49,i.e. the color (violet) obtained therefrom or stuff dyed therewith,
H561,אֵמֶר,48,"X appointed unto him, saying, speech, word.",
H898,בָּגַד,48,to pillage,
H1544,גִּלּוּל גִּלּוּל,48,(properly) a log (as round); (by implication) an idol,
H2595,חֲנִיתּ,48,like pitching a tent),
H2850,חִתּתִּי,48,or descendant of Cheth,
H3050,יָהּ,48,the sacred name,"జా, పవిత్రమైన పేరు"
H3320,יָצַב,48,"to station, offer, continue",
H3458,יִשׁמָעֵאל,48,"the name of Abraham's oldest son, and of five Israelites",
H3957,לִשׁכָּה,48,"eating, or lodging)",
H4347,מַכָּה מַכֶּה,48,also pestilence,
H5038,נְבֵלָה,48,(figuratively) an idol,
H5216,נִיר נִר נֵיר נֵר נֵרָה,48,a lamp (i.e. the burner) or light (literally or figuratively),
H5564,סָמַך,48,to lean upon or take hold of (in a favorable or unfavorable sense),
H5838,עֲזַריָה עֲזַריָהוּ,48,the name of nineteen Israelites,
H6823,צָּפָה,48,transferring to action)],
H7617,שָׁבָה,48,"carry, carry away, lead, lead away, take) captive(-s), drive (take) away.",
H7706,שַׁדַּי,48,the Almighty,సర్వశక్తిమంతుడు
H8242,שַׂק,48,"(hence) a bag (for grain, etc.)",
H1644,גָּרַשׁ,47,"divorced (woman), drive away (forth, out), expel, X surely put away, trouble, thrust out.",
H1800,דַּל,47,"needy, poor (man), weaker.",
H2007,הֵנָּה,47,also in indirect relation),
H3046,יְדַע,47,"yda` (yed-ah') v. 1. certify, know, make known, teach [(Aramaic) corresponding to H3045]  Root(s): H3045",
H3101,יוֹאָשׁ יוֹאָשׁ,47,the name of six Israelites,
H4975,מוֹתֶן,47,"loins, side.",
H5271,נָעוּר נָעוּר נְעוּרָה,47,the state (juvenility) or the persons (young people),
H5545,סָלַח,47,"pardon, spare.",క్షమించటానికి
H7354,רָחֵל,47,a wife of Jacob,
H7523,רָצַח,47,"i.e. kill (a human being), especially to murder",
H7716,שֶׂה שֵׂי,47,i.e. a sheep or goat,
H7927,שְׁכֶם,47,a place in Israel,
H346,אַיֵה,46,where?,
H623,אָסָף,46,"the name of three Israelites, and of the family of the first",
H817,אָשָׁם,46,"(offering for) sin, trespass (offering).",
H1523,גִּיל גּוּל,46,"i.e. usually rejoice, or (as cringing) fear",
H4904,מִשׁכָּב,46,"abstractly, sleep; by euphemism, carnal intercourse",
H4960,מִשׁתֶּה,46,"drank, drink, feast((-ed), -ing).",
H5146,נוַֹח,46,the patriarch of the flood,
H5237,נָכרִי,46,"in a variety of degrees and applications (foreign, non-relative, adulterous, different, wonderful)",
H6113,עָצַר,46,"also to maintain, rule, assemble",
H6293,פָּגַע,46,"by accident or violence, or (figuratively) by importunity",
H6925,קֳדָם קְדָם,46,"qodam (kod-awm') ((Aramaic) or qdam (Aramaic) (Daniel 7) prep. 1. before [corresponding to H6924] KJV: before, X from, X I (thought), X me, + of, X it pleased, presence.  Root(s): H6924",
H6967,קוֹמָה,46,"height, high, stature, tall.",
H7181,קָשַׁב,46,i.e. hearken,
H7355,רָחַם,46,"upon), love, (find, have, obtain, shew) mercy(-iful, on, upon), (have) pity, Ruhamah, X surely.",
H7503,רָפָה,46,literal or figurative),
H7628,שְׁבִי,46,"prisoners, X take away, that was taken.",
H194,אוּלַי אוּלַי,45,"may be, peradventure, unless.",
H835,אֶשֶׁר,45,how happy!,
H2074,זְבוּלוּן זֶבוּלוּן זֶבוּלוּן,45,also his territory and tribe,
H2167,זָמַר,45,"to make music, accompanied by the voice; hence to celebrate in song and music",
H2549,חֲמִישִׁי חֲמִשִּׁי,45,fifth; also a fifth,
H2671,חֵץ,45,"(by implication) a wound; (figuratively, of God) thunder-bolt",
H7321,רוַּע,45,"cry (alarm, aloud, out), destroy, make a joyful noise, smart, shout (for joy), sound an alarm, triumph.",
H7356,רַחַם,45,"compassion, damsel, tender love, (great, tender) mercy, pity, womb.",
H399,אֲכַל,44,"akal (ak-al') v. 1. + accuse, devour, eat [(Aramaic) corresponding to H398]  Root(s): H398",
H657,אֶפֶס,44,adverbially) no further,
H959,בָּזָה,44,"disdain, contemn(-ptible), + think to scorn, vile person.",
H1005,בַּיִת,44,bayith (bah-yith) n-m. 1. house [(Aramaic) corresponding to H1004]  Root(s): H1004,
H1101,בָּלַל,44,denominatively from H1098) to fodder,
H1473,גּוֹלָה גּוֹלָה,44,collectively) exiles,
H2296,חָגַר,44,"armor, etc.)",
H2461,חָלָב,44,"milk, sucking.",
H2502,חָלַץ,44,(reflexively) to depart,
H3129,יוֹנָתָן,44,the name of ten Israelites,
H4186,מוֹשָׁב מוֹשָׁב,44,"dwell in, dwelling(-place), wherein (that) dwelt (in), inhabited place, seat, sitting, situation, sojourning.",
H4784,מָרָה,44,"(figuratively) to rebel (or resist; causatively, to provoke)",
H4818,מֶרכָּבָה,44,a chariot,
H5057,נָגִידּ נָגִד,44,"(generally, abstractly and plural), honorable themes",
H5331,נֶצַח נֵצַח,44,"hence (figuratively), splendor, or (subjectively) truthfulness, or (objectively) confidence; but usually (adverbially), continually (i.e. to the most distant point of view)",
H5352,נָקָה,44,i.e. extirpated,
H5749,עוּד,44,"(intensively) to encompass, restore (as a sort of reduplication)",
H5978,עִמָּד,44,"by, from, + me, + mine, of, + that I take, unto, upon, with(-in.)",
H7068,קִנאָה,44,"jealousy, X sake, zeal.",
H7194,קָשַׁר,44,"(make a) conspire(-acy, -ator), join together, knit, stronger, work (treason)",
H7667,שֶׁבֶר שֵׁבֶר,44,"specifically, a solution (of a dream)",
H8095,שִׁמעוֹן,44,"one of Jacob's sons, also the tribe descended from him",
H8096,שִׁמעִי,44,the name of twenty Israelites,
H836,אָשֵׁר,43,also a place in Israel,
H962,בָּזַז,43,"gather, (take) for a prey, rob(-ber), spoil, take (away, spoil), X utterly.",
H1111,בָּלָק,43,a Moabitish king,
H1390,גִּבעָה,43,the hill.,
H2029,הָרָה,43,conceive (literally or figuratively),
H2040,הָרַס,43,"break, &Š destroy",
H2148,זְכַריָה זְכַריָהוּ,43,the name of twenty-nine Israelites,
H3245,יָסַד,43,"reflexively, to sit down together, i.e. settle, consult",
H3256,יָסַר,43,(hence) to instruct,
H3303,יָפֶה,43,"beauty, comely, fair(-est, one), + goodly, pleasant, well.",
H3485,יִשָּׂשׂכָּר,43,a son of Jacob,
H3871,לוַּח לוַּח,43,"of stone, wood or metal",
H4611,מַעֲלָל,43,"endeavour, invention, work.",
H4970,מָתַי,43,when (either relative or interrogative),
H5207,נִיחוַֹח נִיחוַֹח,43,"abstractly, delight",
H5355,נָקִי נָקִיא,43,"clean, clear, exempted, free, guiltless, innocent, quit.",
H6584,פָּשַׁט,43,"to strip (i.e. unclothe, plunder, flay, etc.)",
H7339,רְחוֹב רְחוֹב,43,street. See also H1050.,
H8393,תְּבוּאָה,43,i.e. produce (literally or figuratively),
H8394,תָּבוּן תֶּבוּנָה תּוֹבוּנָה,43,"a sudden, impulsive change of mind",
H8438,תּוֹלָע תּוֹלֵעָה תּוֹלַעַת תּוֹלַעַת,43,"but used only (in this connection) of the color from it, and cloths dyed therewith",
H238,אָזַן,42,probably to expand; but used only as a denominative from H241],
H575,אָן אָנָה,42,(also) hither and thither,
H914,בָּדַל,42,"separate, distinguish, differ, select, etc.)",
H983,בֶּטַח,42,"(often, adverb with or without preposition) safely",
H1141,בְּנָיָה בְּנָיָהוּ,42,the name of twelve Israelites,
H1280,בְּרִיַח,42,fugitive.,
H2100,זוּב,42,(figuratively) to waste away; also to overflow,
H2723,חָרבָּה,42,"desolate (place, -tion), destruction, (laid) waste (place).",
H2945,טַּף,42,families.,
H3176,יָחַל,42,hope,
H3448,יִשַׁי אִישַׁי,42,David's father,
H3490,יָתוֹם,42,orphan.,
H3658,כִּנּוֹר,42,a harp,
H4256,מַחֲלוֹקֶת,42,people or soldiers),
H4501,מְנוֹרָה מְנוֹרָה,42,H5216,
H5128,נוַּע,42,"in a great variety of applications, literally and figuratively (as subjoined)",
H5416,נָתָן,42,the name of five Israelites,
H5422,נָתַץ,42,"break down (out), cast down, destroy, overthrow, pull down, throw down.",
H5631,סָרִיס סָרִס,42,"eunuch, officer.",
H6865,צּוֹר צּוֹר,42,a place in Israel,
H7622,שְׁבוּת שְׁבִיתּ,42,exile; (concretely) prisoners; (figuratively) a former state of prosperity,
H8144,שָׁנִי,42,"properly, the insect or its color, also stuff dyed with it",
H8252,שָׁקַט,42,"idleness, (at, be at, be in, give) quiet(-ness), (be at, be in, give, have, take) rest, settle, be still.",
H8336,שֵׁשׁ שְׁשִׁי,42,i.e. white linen or (by analogy) marble,
H215,אוֹר,41,make) luminous (literally and metaphorically),
H268,אָחוֹר אָחוֹר,41,"(also, as facing north) the West",
H271,אָחָז,41,the name of a Jewish king and of an Israelite,
H553,אָמַץ,41,physically (on foot) or mentally (in courage),
H693,אָרַב,41,lay (lie in) wait.,
H1035,בֵּיתּ לֶחֶם,41,a place in Israel,
H1588,גַּן,41,a garden (as fenced),
H1834,דַּמֶּשֶׂק דּוּמֶשֶׂק דַּרמֶשֶׂק,41,a city of Syria,
H2550,חָמַל,41,"(have) pity, spare.",
H2717,חָרַב חָרֵב,41,") to desolate, destroy, kill",
H2740,חָרוֹן חָרוֹן,41,"fierce(-ness), fury, (fierce) wrath(-ful).",
H2778,חָרַף,41,to betroth (as if a surrender),
H2983,יְבוּסִי,41,a Jebusite or inhabitant of Jebus,
H3374,יִראָה,41,reverence,
H3985,מָאֵן,41,X utterly.,
H4751,מַר מָרָה,41,"bitter(-ly, -ness), chafed, discontented, X great, heavy.",
H6586,פָּשַׁע,41,"i.e. trespass, apostatize, quarrel",
H6663,צָּדַק,41,make) right (in a moral or forensic sense),నీతిమంతుడు
H6677,צַּוָּאר צַּוָּר צַּוָּרוֹן צַּוָּארָה,41,the back of the neck (as that on which burdens are bound),
H6763,צֵּלָע צַּלעָה,41,"(hence) a side, literally (of a person) or figuratively (of an object or the sky, i.e. quarter); architecturally, a (especially floor or ceiling) timber or plank (single or collective, i.e. a flooring)",
H7264,רָגַז,41,especially anger or fear),
H8098,שְׁמַעיָה שְׁמַעיָהוּ,41,the name of twenty-five Israelites,
H160,אַהֲבָה,40,love,
H374,אֵיפָה אֵפָה,40,(divers) measure(-s).,
H558,אֲמַציָה אֲמַציָהוּ,40,the name of four Israelites,
H842,אֲשֵׁרָה אֲשֵׁירָה,40,happy; Asherah (or Astarte) a Phoenician goddess; also an image of the same,
H1537,גִּלגָּל,40,the name of three places in Israel,
H1589,גָּנַב,40,"X indeed, secretly bring, steal (away), get by stealth.",
H1715,דָּגָן,40,i.e. grain,
H4631,מְעָרָה,40,"den, hole.",
H5203,נָטַשׁ,40,"(by implication) (as if beating out, and thus expanding) to disperse; also, to thrust off, down, out or upon (inclusively, reject, let alone, permit, remit, etc.)",
H5857,עַי עַיָא עַיָת,40,"Aja or Ajath, a place in Israel",
H5923,עוֹל עוֹל,40,literally or figuratively,
H6833,צִּפּוֹר צִּפּוֹר,40,"fowl, sparrow.",
H56,אָבַל,39,mourn.,
H223,אוּרִיָה אוּרִיָהוּ,39,the name of one Hittite and five Israelites,
H926,בָּהַל,39,"amazed, dismayed, rash), (be, get, make) haste(-n, -y, -ily), (give) speedy(-ily), thrust out, trouble, vex.",
H1439,גִּדעוֹן,39,an Israelite,
H1767,דַּי,39,used chiefly with preposition in phrases,
H2219,זָרָה,39,winnow,
H2436,חֵיק חֵק חוֹק,39,apparently meaning to inclose],
H2656,חֵפֶץ,39,(concretely) a valuable thing,
H2729,חָרַד,39,"be careful, discomfit, fray (away), quake, tremble.",
H3470,יְשַׁעיָה יְשַׁעיָהוּ,39,the name of seven Israelites,
H3515,כָּבֵד,39,"difficult, stupid)",
H3816,לְאוֹם לְאוֹם,39,people.,
H4131,מוֹט,39,"to slip, shake, fall",
H4820,מִרמָה,39,"deceit(-ful, -fully), false, feigned, guile, subtilly, treachery.",
H4847,מְרָרִי,39,an Israelite,
H4899,מָשִׁיַח,39,"(specifically) the Messiah, the Anointed One",
H5148,נָחָה,39,or as colonists),
H5467,סְדוֹם,39,a place near the Dead Sea,
H6002,עֲמָלֵק,39,also his posterity and their country,
H6950,קָהַל,39,gather (selves) (together).,
H8047,שַׁמָּה,39,"desolate(-ion), waste, wonderful thing.",
H8165,שֵׂעִיר,39,"a mountain of Idumaea and its aboriginal occupants, also one in Israel",
H8384,תְּאֵן תְּאֵנָה,39,the fig (tree or fruit),
H8435,תּוֹלְדָה תּוֹלְדָה,39,(figuratively) history,
H335,אַי,38,"what, whence, where, whether, which (way).",
H713,אַרגָּמָן,38,purple (the color or the dyed stuff),
H998,בִּינָה,38,"meaning, X perfectly, understanding, wisdom.",
H1219,בָּצַר,38,"(de-)fenced, fortify, (grape) gather(-er), mighty things, restrain, strong, wall (up), withhold.",
H2132,זַיִת,38,"the tree, the branch or the berry",
H2315,חֶדֶר,38,"innermost(-ward) part, parlour, + south, X within.",
H2764,חֵרֶם חֶרֶם,38,"-d thing), dedicated thing, things which should have been utterly destroyed, (appointed to) utter destruction, devoted (thing), net.",
H2809,חֶשׁבּוֹן,38,a place East of the Jordan,
H3637,כָּלַם,38,"blush, be confounded, be put to confusion, hurt, reproach, (do, put to) shame.",
H4306,מָטָר,38,rain,
H4393,מְלוֹא מְלוֹא מְלוֹ,38,"X all that is (there-)in, fill, (X that whereof...was) full, fullness, (hand- )full, multitude.",
H4405,מִלָּה מִלֶּה,38,(figuratively) a topic,
H4912,מָשָׁל,38,"(hence) a simile (as an adage, poem, discourse)",
H5035,נֶבֶל נֵבֶל,38,"pitcher, psaltery, vessel, viol.",
H5739,עֵדֶר,38,i.e. muster (of animals),
H6467,פּוֹעַל,38,"deed, do, getting, maker, work.",
H6822,צָּפָה,38,"(by implication) to observe, await",
H7098,קָצָה,38,"corner, (selv-)edge, lowest, (uttermost) participle",
H8065,שָׁמַיִן,38,shamayin (shaw-mah'-yin) n-m. 1. heaven [(Aramaic) corresponding to H8064]  Root(s): H8064,
H8084,שְׁמוֹנִים שְׁמוֹנִים,38,also eightieth,
H8123,שִׁמשׁוֹן,38,an Israelite,
H8283,שָׂרָה,38,Abraham's wife,
H8492,תִּירוֹשׁ תִּירוֹשׁ,38,sweet) wine.,
H274,אֲחַזיָה אֲחַזיָהוּ,37,the name of a Jewish and an Israelite king,
H565,אִמרָה אֶמרָה,37,"speech, word.",
H875,בְּאֵר,37,well.,
H1364,גָּבוֹהַּ גָּבוֹהַּ,37,"powerful, arrogant",
H1391,גִּבעוֹן,37,a place in Israel,
H1580,גָּמַל,37,"(by implication) (of toil), to ripen, i.e. (specifically) to wean",
H1637,גּוֹרֶן,37,any open area,
H2620,חָסָה,37,"make refuge, (put) trust.",
H3079,יְהוֹיָקִים,37,a Jewish king,
H3556,כּוֹכָב,37,H3554,
H3557,כּוּל,37,"can) abide, bear, comprehend, contain, feed, forbearing, guide, hold(-ing in), nourish(-er), be present, make provision, receive, sustain, provide sustenance (victuals).",
H3602,כָּכָה,37,referring to the previous or following context,
H3950,לָקַט,37,glean.,
H4013,מִבצָּר מִבצָּרָה,37,(figuratively) a defender,
H4581,מָעוֹז מָעוּז מָעוֹז מָעוּז,37,a fortified place; (figuratively) a defence,
H5130,נוּף,37,"used in a great variety of applications (including sprinkling, beckoning, rubbing, bastinadoing, sawing, waving, etc.)",
H5511,סִיחוֹן סִיחוֹן,37,an Amoritish king,
H6239,עוֹשֶׁר,37,riches.,
H6370,פִּילֶגֶשׁ פִּלֶגֶשׁ,37,gigolo,
H7122,קָרָא,37,"(by) chance, (cause to) come (upon), fall out, happen, meet",
H7141,קוֹרַח,37,the name of two Edomites and three Israelites,
H7778,שׁוֹעֵר שׁוֹעֵר,37,porter.,
H423,אָלָה,36,"(usually, in a bad sense) a curse",
H2574,חֲמָת,36,a place in Syria,
H2796,חָרָשׁ,36,"(+) carpenter, craftsman, engraver, maker, + mason, skilful, (+) smith, worker, workman, such as wrought.",
H2932,טּוּמאָה,36,unclean(-ness).,
H3157,יִזרְעֵאל,36,the name of two places in Israel and of two Israelites,
H3368,יָקָר,36,"clear, costly, excellent, fat, honourable women, precious, reputation.",
H3468,יֶשַׁע יֵשַׁע,36,"deliverance, prosperity",
H3665,כָּנַע,36,vanquish,
H3766,כָּרַע,36,to prostrate,
H4135,מוּל,36,(by implication) to blunt; (figuratively) to destroy,
H4136,מוּל מוֹל מוֹאל מוּל,36,"(by implication) the front; (used only adverbially, with prepositional prefix) opposite",
H4159,מוֹפֵת מוֹפֵת,36,"sign, wonder(-ed at).",
H4229,מָחָה,36,i.e. grease or make fat,
H4603,מָעַל,36,"to act covertly, i.e. treacherously",
H4709,מִצפָּה,36,the name of two places in Israel,
H4900,מָשַׁך,36,"used in a great variety of applications (including to sow, to sound, to prolong, to develop, to march, to remove, to delay, to be tall, etc.)",
H5116,נָוֶה נָוָה,36,"of God (temple), men (residence), flocks (pasture), or wild animals (den)",
H5236,נֵכָר,36,"or (concretely) a foreigner, or (abstractly) heathendom",
H5254,נָסָה,36,"assay, prove, tempt, try.",
H5643,סֵתֶר סִתרָה,36,a literal or a figurative sense),
H6040,עֳנִי,36,i.e. misery,
H6524,פָּרַח,36,(generally) to spread; (specifically) to fly (as extending the wings),
H6696,צּוּר,36,"i.e. confine (in many applications, literally and figuratively, formative or hostile)",
H6966,קוּם,36,"quwm (koom) v. 1. appoint, establish, make, raise up self, (a-)rise (up), (make to) stand, set (up) [(Aramaic) corresponding to H6965]  Root(s): H6965",
H7151,קִריָה,36,i.e. building],
H7186,קָשֶׁה,36,"cruel, grievous, hard((-hearted), thing), heavy, + impudent, obstinate, prevailed, rough(-ly), sore, sorrowful, stiff((necked)), stubborn, + in trouble.",
H7414,רָמָה,36,the name of four places in Israel,
H7561,רָשַׁע,36,violate,
H7832,שָׂחַק,36,"have in derision, laugh, make merry, mock(-er), play, rejoice, (laugh to) scorn, be in (make) sport.",
H8398,תֵּבֵל,36,"a participle) land, as Israel, Egypt, Babylon",
H8415,תְּהוֹם תְּהוֹם,36,especially the deep (the main sea or the subterranean water-supply),
H8643,תְּרוּעָה,36,"especially clangor of trumpets, as an alarum",
H212,אוֹפָן אוֹפָן,35,a wheel,
H339,אִי,35,"a coast, an island",
H816,אָשַׁם אָשֵׁם,35,"be(-come, made) desolate, destroy, X greatly, be(-come, found, hold) guilty, offend (acknowledge offence), trespass.",
H1653,גֶּשֶׁם,35,shower.,
H2236,זָרַק,35,"scatter, sprinkle, strew.",
H2377,חָזוֹן,35,"i.e. a dream, revelation, or oracle",
H3612,כָּלֵב,35,the name of three Israelites,
H4436,מַלכָּה,35,a queen,
H4932,מִשׁנֶה,35,"(by implication) a second (in order, rank, age, quality or location)",
H5358,נָקַם,35,i.e. avenge or punish,
H5401,נָשַׁק,35,through the idea of fastening up)],
H5514,סִינַי,35,mountain of Arabia,
H5695,עֵגֶל,35,especially one nearly grown (i.e. a steer),
H5705,עַד,35,"`ad (ad) prep. 1. (properly) a (peremptory) terminus 2. corresponding to H5704 3.  [(Aramaic)] KJV: X and, at, for, (hither-)to, on till, (un-)to, until, within.  See also: H5704",
H6189,עָרֵל,35,"used only technically, uncircumcised (i.e. still having the prepuce uncurtailed)",
H6231,עָשַׁק,35,"i.e. oppress, defraud, violate, overflow",
H6883,צָּרַעַת,35,leprosy,
H197,אוּלָם אוּלָם,34,a vestibule (as bound to the building),
H748,אָרַך,34,make) long (literally or figuratively),
H860,אָתוֹן,34,a female donkey (from its docility),
H884,בְּאֵר שֶׁבַע,34,a place in Israel,
H1361,גָּבַהּ,34,"be haughty, be (make) high(-er), lift up, mount up, be proud, raise up great height, upward.",
H1530,גַּל,34,"i.e. a heap of stone or dung (plural ruins), by analogy, a spring of water (plural waves)",
H1993,הָמָה,34,"to rage, war, moan, clamor",
H2399,חֵטא,34,"X grievously, offence, (punishment of) sin.",
H2518,חִלקִיָה חִלקִיָהוּ,34,the name of eight Israelites,
H2623,חָסִידּ,34,i.e. (religiously) pious (a saint),
H3051,יָהַב,34,reflexively) come,
H3409,יָרֵך,34,"flank, side",
H3563,כּוֹס,34,"(also) some unclean bird, probably an owl (perhaps from the cup-like cavity of its eye)",
H3618,כַּלָּה,34,"daughter-in-law, spouse.",
H3812,לֵאָה,34,a wife of Jacob,
H4318,מִיכָּה,34,the name of seven Israelites,
H5518,סִיר סִירָה סִרָה,34,"fishhook, pan, ((wash-))pot, thorn.",
H5678,עֶברָה,34,"rage, wrath.",
H5680,עִברִי,34,woman).,
H6845,צָּפַן,34,positively) to protect,
H6884,צָּרַף,34,i.e. refine (literally or figuratively),
H7107,קָצַף,34,i.e. (figuratively) burst out in rage,
H8184,שְׂעוֹרָה שְׂעוֹרָה שְׂעוֹר שְׂעוֹר,34,barley (as villose),
H8227,שָׁפָן,34,i.e. probably the hyrax,
H8615,תִּקוָה,34,"hope, live, thing that I long for.",
H8668,תְּשׁוּעָה תְּשׁוּעָה,34,"pers., national or spir.)",
H1416,גְּדוּד,33,"band (of men), company, troop (of robbers).",
H1661,גַּת,33,a Philistine city,
H2244,חָבָא,33,"hide (self), do secretly.",
H2280,חָבַשׁ,33,"(figuratively) to stop, to rule",
H2859,חָתַן,33,generally) to contract relationship (affinity) by marriage,
H3233,יְמָנִי,33,right (i.e. at the right hand),
H3830,לְבוּשׁ לְבוּשׁ,33,"clothed with, clothing, garment, raiment, vestment, vesture.",
H3876,לוֹט,33,Abraham's nephew,
H5020,נְבוּכַּדנֶצַּר,33,Nbuwkadnetstsar (neb-oo-kad-nets-tsar') n/p. 1. Nebuchadnezzar [(Aramaic) corresponding to H5019]  Root(s): H5019,
H5941,עֵלִי,33,an Israelite high-priest,
H6187,עֵרֶך,33,"equipment, estimate",
H6203,עוֹרֶף,33,literally or figuratively) the back in general,
H6212,עֶשֶׂב,33,herb.,
H6241,עִשָּׂרוֹן עִשָּׂרוֹן,33,(fractional) a tenth part,
H6654,צַּד,33,a side; (figuratively) an adversary,
H6779,צָּמַח,33,literal or figurative),
H7045,קְלָלָה,33,- ing).,
H7440,רִנָּה,33,i.e. shout (of joy or grief),
H8328,שֶׁרֶשׁ,33,"deep, heel, root.",
